,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DIMET       ,,,,,,,  41.04 ,  41.95 ,  41.72 ,,,,,
DRACO       ,  23.22 ,  26.59 ,  58.36 ,  98.50 ,  38.47 ,  35.36 ,  25.42 ,  51.24 ,  50.00 ,  32.18 ,  (81.82),  92.40 ,  (46.91),
DRT         ,,,,  39.77 ,  70.05 ,  76.26 ,  86.92 ,  76.96 ,  78.20 ,  84.33 ,  75.75 ,  88.26 ,  97.81 ,  79.15 
DSGT        ,,,,,  22.48 ,  39.56 ,  42.74 ,  37.22 ,  35.11 ,  71.41 ,  26.00 ,  54.36 ,  51.89 ,"  81,395.34 "
DTAC        ,,,,,,  29.59 ,  38.07 ,  49.66 ,  69.79 ,  357.59 ,  106.23 ,  90.06 ,  140.81 ,  81.97 
DTC         ,  52.96 ,  66.27 ,  36.34 ,  67.10 ,  66.31 ,  69.71 ,  39.24 ,  (39.36),  39.31 ,  136.91 ,  56.89 ,  519.23 ,"  (4,117.22)",  512.08 
DTCI        ,,,,,,,,  84.13 ,  41.66 ,  33.67 ,  38.69 ,  40.83 ,  59.01 ,  33.90 
E           ,,,,,,,,,,,,,,
EARTH       ,,,,,,,,,,,,,  28.52 ,  51.18 
EASON       ,,,,  60.88 ,  57.42 ,  69.82 ,  62.37 ,  49.56 ,  68.28 ,  89.99 ,  56.61 ,  48.97 ,  53.99 ,  16.59 
EASTW       ,  55.24 ,  56.74 ,  71.54 ,  64.97 ,  65.24 ,  94.38 ,  284.68 ,  72.13 ,  69.58 ,  69.35 ,  32.21 ,  53.10 ,  56.11 ,  49.34 
ECL         ,,,  131.10 ,  84.41 ,  49.00 ,,  82.63 ,  86.53 ,  90.33 ,  95.02 ,  87.72 ,  38.92 ,  86.84 ,
EE          ,,,,,,,,,,,,,,
EGCO        ,  44.49 ,  24.15 ,  33.84 ,  41.81 ,  34.89 ,  29.76 ,  38.00 ,  34.83 ,  40.69 ,  55.39 ,  28.77 ,  45.69 ,  42.92 ,  76.18 
EIC         ,,  39.22 ,  58.53 ,  56.68 ,  88.16 ,  61.09 ,  48.13 ,,  83.52 ,  71.15 ,,,,
EMC         ,,,,  39.94 ,  51.91 ,  49.50 ,,,,,,,,
EPCO        ,,,,  69.23 ,  172.92 ,  85.11 ,  76.91 ,  91.72 ,  99.36 ,  98.12 ,  71.13 ,  71.00 ,  110.50 ,  55.75 
ERW         ,,  31.58 ,  25.70 ,  22.55 ,  23.95 ,  33.07 ,  28.66 ,,,  36.55 ,  40.08 ,  40.02 ,  (88.86),  50.50 
ESSO        ,,,,,,,,  19.44 ,  41.87 ,  18.41 ,  (10.19),,,
ESTAR       ,,,,,,,,,,,,,  53.86 ,  94.59 
EVER        ,,,,,,  10.87 ,,,,,,,,
F&D         ,  65.76 ,  68.07 ,  55.34 ,,,,,  18.80 ,  25.41 ,  30.74 ,  34.27 ,  21.04 ,,
FANCY       ,  106.56 ,  94.20 ,  96.92 ,  105.61 ,,,"  (1,122.39)",  89.24 ,  191.81 ,,,  172.85 ,  115.81 ,
FE          ,  15.10 ,  62.37 ,  68.36 ,  64.95 ,  64.64 ,  64.80 ,  62.47 ,  48.16 ,  62.90 ,  60.20 ,  51.50 ,  51.47 ,  56.18 ,  44.07 
FMT         ,  67.26 ,  73.35 ,  61.68 ,  76.08 ,  53.16 ,  116.58 ,  32.46 ,,  58.55 ,  52.72 ,,  52.86 ,  57.79 ,  54.26 
FNS         ,  21.99 ,  10.37 ,  13.09 ,  61.02 ,,,,,,,,,  43.78 ,  13.17 
FOCUS       ,,,,,,,,,,,,,,
FORTH       ,,,,,  44.97 ,  31.71 ,,,  81.52 ,  75.19 ,  123.72 ,  102.00 ,  85.23 ,  66.81 
FSS         ,,,  89.16 ,  84.47 ,,,,  34.76 ,  30.03 ,  31.44 ,  37.91 ,  4.34 ,  40.69 ,  54.83 
GBX         ,,,  85.34 ,  92.07 ,,  254.17 ,,,,  103.13 ,,  61.65 ,,  185.49 
GC          ,,,,  76.67 ,  75.04 ,  73.75 ,  83.62 ,  83.07 ,  80.46 ,  99.46 ,  92.73 ,  91.48 ,  96.62 ,  88.27 
GENCO       ,,,,  71.85 ,  64.10 ,  39.30 ,  69.34 ,,,  43.81 ,,,,
