Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CITY        ,,,,,  7.67 ,  10.40 ,  9.39 ,  8.09 ,  9.25 ,  10.45 ,  7.21 ,  7.88 ,  7.91 ,  8.04 
CK          ,  10.69 ,  9.17 ,  10.00 ,  6.72 ,  6.42 ,  8.03 ,  8.97 ,  8.72 ,  14.57 ,  13.27 ,  7.52 ,  4.59 ,  4.48 ,  5.04 
CM          ,  20.10 ,  20.41 ,  20.37 ,  21.29 ,  20.15 ,  18.17 ,  17.14 ,  15.87 ,  16.26 ,  16.08 ,  13.52 ,  13.58 ,  13.61 ,  12.54 
CMO         ,,,  14.01 ,  16.37 ,  14.50 ,  18.91 ,  16.71 ,  15.49 ,  15.29 ,  21.89 ,  12.41 ,  16.54 ,  20.47 ,  15.34 
CMR         ,  18.64 ,  17.78 ,  18.28 ,  19.38 ,  19.28 ,  19.08 ,  16.21 ,  14.05 ,  13.58 ,  13.82 ,  13.36 ,  11.51 ,  12.13 ,  12.13 
CNS         ,  75.80 ,  73.41 ,  58.58 ,  69.99 ,  76.90 ,  78.08 ,  73.02 ,  81.86 ,  71.66 ,  71.63 ,  64.88 ,  53.75 ,  56.32 ,  54.62 
CNT         ,  7.07 ,  4.77 ,  3.37 ,  4.18 ,  3.33 ,  2.44 ,  3.68 ,  4.21 ,  5.02 ,  4.31 ,  3.16 ,  3.24 ,  3.16 ,  3.99 
COLOR       ,,,,,,,,,,  16.70 ,  16.32 ,  16.88 ,  14.64 ,  14.57 
CPALL       ,,  19.80 ,  20.12 ,  21.71 ,  25.98 ,  26.30 ,  25.04 ,  25.14 ,  24.44 ,  21.91 ,  23.18 ,  21.41 ,  19.23 ,  18.86 
CPF         ,  8.46 ,  9.33 ,  10.02 ,  10.73 ,  11.61 ,  11.79 ,  10.89 ,  10.99 ,  10.91 ,  9.17 ,  9.31 ,  9.50 ,  10.05 ,  11.13 
CPH         ,  11.22 ,  11.63 ,  11.87 ,  12.23 ,  12.85 ,  13.59 ,  14.58 ,  12.08 ,  14.31 ,  16.82 ,  11.96 ,  14.59 ,  11.86 ,  12.22 
CPI         ,  11.46 ,  9.40 ,  9.21 ,  11.64 ,  9.25 ,  7.11 ,  5.89 ,  5.67 ,,  7.24 ,  8.96 ,  9.62 ,  7.70 ,  9.01 
CPL         ,  5.89 ,  5.04 ,  5.09 ,  5.21 ,  5.25 ,  5.15 ,  5.03 ,  5.77 ,  5.32 ,  6.38 ,  6.52 ,  7.12 ,  5.53 ,  6.37 
CPN         ,  19.15 ,  14.65 ,  14.51 ,  21.89 ,  16.07 ,  19.18 ,  18.11 ,  18.96 ,  19.89 ,  20.17 ,  16.35 ,  17.30 ,  16.44 ,  16.60 
CPR         ,,,,  17.18 ,  22.43 ,  20.25 ,  17.00 ,  24.20 ,  16.57 ,  14.97 ,  12.67 ,  12.16 ,  12.31 ,  11.55 
CRANE       ,,,,,,,,,,,,,  16.19 ,  20.75 
CSC         ,  6.94 ,  6.50 ,  6.65 ,  8.26 ,  7.32 ,  7.72 ,  7.18 ,  6.54 ,  6.66 ,  8.42 ,  7.74 ,  9.80 ,  7.55 ,  7.76 
CSL         ,,,  30.94 ,  34.00 ,  32.64 ,  32.83 ,  33.01 ,  29.59 ,  28.75 ,  28.14 ,  27.06 ,  24.81 ,  24.12 ,  24.58 
CSP         ,,,,  1.87 ,  2.19 ,  2.47 ,  2.01 ,  3.31 ,  2.57 ,  3.22 ,  1.93 ,  2.22 ,  2.60 ,  3.96 
CSR         ,  21.82 ,  22.20 ,  20.01 ,  18.28 ,  17.23 ,  16.71 ,  17.75 ,  18.94 ,  18.13 ,  21.17 ,  21.65 ,  19.46 ,  21.12 ,  23.69 
CTW         ,  12.38 ,  8.30 ,  5.94 ,  5.14 ,  4.10 ,  3.48 ,  5.21 ,  5.40 ,  4.49 ,  4.15 ,  5.88 ,  7.15 ,  5.90 ,  6.43 
