,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CHUO        ,  5.19 ,  5.42 ,  5.84 ,  7.94 ,  7.89 ,  8.35 ,  8.45 ,  8.15 ,  8.59 ,  6.79 ,  5.65 ,  6.08 ,  6.23 ,  5.53 
CI          ,  0.82 ,  0.89 ,  0.91 ,  1.04 ,  1.08 ,  1.10 ,  1.22 ,  1.32 ,  1.30 ,  1.21 ,  1.35 ,  1.69 ,  1.59 ,  1.67 
CIG         ,,,,  0.84 ,  0.84 ,,  1.42 ,  1.34 ,  1.13 ,  0.86 ,  0.69 ,  0.73 ,  0.92 ,  0.91 
CIMBT       ,  2.03 ,  1.26 ,  1.43 ,  1.59 ,  0.79 ,  0.12 ,  0.32 ,  0.41 ,  0.58 ,  0.66 ,  0.88 ,  0.97 ,  1.01 ,  1.09 
CITY        ,,,,,  2.16 ,  2.39 ,  2.57 ,  2.69 ,  2.80 ,  3.01 ,  3.37 ,  3.63 ,  3.97 ,  4.27 
CK          ,  2.57 ,  3.82 ,  4.17 ,  4.18 ,  3.58 ,  3.69 ,  3.44 ,  3.70 ,  3.52 ,  3.77 ,  5.05 ,  9.77 ,  11.29 ,  12.08 
CM          ,  2.65 ,  2.74 ,  2.82 ,  2.91 ,  2.98 ,  3.04 ,  3.14 ,  3.17 ,  3.33 ,  3.07 ,  3.39 ,  3.48 ,  3.33 ,  3.54 
CMO         ,,,  1.54 ,  1.56 ,  1.65 ,  1.51 ,  1.33 ,  1.29 ,  1.49 ,  1.52 ,  1.95 ,  1.99 ,  1.73 ,  2.15 
CMR         ,  3.78 ,  4.19 ,  4.33 ,  4.57 ,  4.95 ,  9.04 ,  25.34 ,  27.14 ,  30.95 ,  32.33 ,  44.60 ,  50.92 ,  57.97 ,  67.84 
CNS         ,  2.30 ,  2.32 ,  2.47 ,  2.35 ,  2.32 ,  2.34 ,  2.36 ,  2.34 ,  2.31 ,  2.23 ,  2.39 ,  2.50 ,  2.53 ,  2.55 
CNT         ,  (4.03),  0.53 ,  0.84 ,  1.00 ,  0.97 ,  1.05 ,  1.05 ,  1.17 ,  1.70 ,  1.65 ,  1.81 ,  2.14 ,  1.69 ,  1.71 
COLOR       ,,,,,,,,,,  1.15 ,  1.15 ,  1.15 ,  1.15 ,  1.22 
CPALL       ,,  0.08 ,  0.09 ,  0.99 ,  0.98 ,  1.02 ,  1.86 ,  2.09 ,  1.98 ,  2.39 ,  2.98 ,  3.20 ,  3.43 ,  4.16 
CPF         ,  5.51 ,  5.33 ,  5.45 ,  5.73 ,  5.60 ,  5.81 ,  5.99 ,  6.90 ,  7.71 ,  8.46 ,  13.50 ,  14.18 ,  15.18 ,  15.03 
CPH         ,  16.01 ,  19.42 ,  20.98 ,  23.40 ,  23.19 ,  22.40 ,  23.26 ,  23.93 ,  22.37 ,  23.04 ,  21.86 ,  20.41 ,  21.11 ,  21.46 
CPI         ,  1.37 ,  2.29 ,  2.42 ,  2.09 ,  2.09 ,  2.15 ,  2.61 ,  2.63 ,,  2.85 ,  2.79 ,  2.84 ,  2.95 ,  2.82 
CPL         ,  30.39 ,  29.77 ,  30.87 ,  33.47 ,  35.37 ,  32.26 ,  34.17 ,  35.98 ,  35.98 ,  36.61 ,  36.23 ,  37.64 ,  38.83 ,  37.67 
CPN         ,  1.45 ,  1.90 ,  2.12 ,  2.57 ,  2.76 ,  2.99 ,  3.33 ,  4.29 ,  4.26 ,  4.58 ,  5.82 ,  8.06 ,  9.14 ,  10.24 
CPR         ,,,,  1.58 ,  1.63 ,  1.62 ,  1.70 ,  1.74 ,  1.97 ,  2.10 ,  2.35 ,  2.49 ,  2.62 ,  2.84 
CRANE       ,,,,,,,,,,,,,  2.03 ,  1.95 
CSC         ,  8.530 ,  16.156 ,  19.219 ,  19.019 ,  20.191 ,  25.781 ,  28.15 ,  30.98 ,  32.57 ,  34.13 ,  38.67 ,  42.97 ,  47.73 ,  52.08 
CSL         ,,,  3.01 ,  3.11 ,  2.83 ,  2.56 ,  1.49 ,  1.62 ,  1.93 ,  1.90 ,  1.91 ,  2.04 ,  1.03 ,  1.10 
