Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CPR         ,,,,  0.23 ,  0.05 ,  0.01 ,  0.10 ,  0.07 ,  0.26 ,  0.23 ,  0.33 ,  0.22 ,  0.22 ,  0.30 
CRANE       ,,,,,,,,,,,,,  0.34 ,  (0.06)
CSC         ,  2.03 ,  3.47 ,  3.08 ,  0.99 ,  5.80 ,  2.74 ,  3.12 ,  3.66 ,  4.88 ,  4.05 ,  5.57 ,  6.49 ,  6.31 ,  6.22 
CSL         ,,,  0.53 ,  0.47 ,  0.34 ,  0.42 ,  0.26 ,  0.45 ,  0.67 ,  0.56 ,  0.66 ,  0.78 ,  (0.25),  0.53 
CSP         ,,,,  0.14 ,  0.12 ,  0.08 ,  0.13 ,  0.02 ,  0.21 ,  0.18 ,  0.20 ,  0.16 ,  0.28 ,  (0.36)
CSR         ,  2.06 ,  1.97 ,  2.29 ,  2.93 ,  3.15 ,  3.42 ,  2.77 ,  3.02 ,  2.90 ,  2.03 ,  3.13 ,  3.85 ,  3.48 ,  3.39 
CTW         ,  0.84 ,  0.97 ,  0.76 ,  0.85 ,  1.31 ,  0.48 ,  (1.57),  0.76 ,  1.37 ,  0.42 ,  1.34 ,  0.74 ,  0.28 ,  (0.25)
CWT         ,  (0.22),  (0.02),  0.37 ,  (0.39),  (0.80),  (0.61),  (0.44),  (0.43),  0.93 ,  0.11 ,  0.24 ,  (0.05),  0.08 ,  0.10 
DCC         ,  0.06 ,  0.08 ,  0.10 ,  0.11 ,  0.09 ,  0.09 ,  0.10 ,  0.15 ,  0.18 ,  0.19 ,  0.19 ,  0.20 ,  0.19 ,  0.21 
DCON        ,,,  0.04 ,  0.03 ,  0.02 ,  0.01 ,  0.01 ,  0.00 ,  0.03 ,  0.03 ,  0.05 ,  0.08 ,  0.11 ,  0.08 
DELTA       ,  2.80 ,  1.60 ,  1.03 ,  1.92 ,  1.57 ,  2.53 ,  2.32 ,  1.76 ,  3.33 ,  2.30 ,  3.49 ,  4.34 ,  4.78 ,  5.38 
DEMCO       ,,,,,,,,,,  0.25 ,  0.68 ,  0.52 ,  0.52 ,  (0.70)
DIMET       ,,,,,,,  0.03 ,  0.04 ,  0.03 ,  (0.07),  (0.05),  (0.08),  (0.05),  (0.03)
DRACO       ,  0.04 ,  0.04 ,  0.02 ,  0.01 ,  0.02 ,  0.07 ,  0.59 ,  0.23 ,  0.34 ,  0.31 ,  (0.12),  0.11 ,  (0.21),  (0.64)
DRT         ,,,,  0.04 ,  0.06 ,  0.39 ,  0.28 ,  0.37 ,  0.45 ,  0.45 ,  0.53 ,  0.43 ,  0.28 ,  0.32 
DSGT        ,,,,,  0.14 ,  0.17 ,  0.18 ,  0.25 ,  0.29 ,  0.16 ,  0.51 ,  0.39 ,  0.35 ,  0.00 
DTAC        ,,,,,,  2.47 ,  3.94 ,  2.80 ,  4.60 ,  4.99 ,  4.76 ,  4.46 ,  4.53 ,  2.49 
