Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EASON       ,,,,  19.55 ,  15.66 ,  11.93 ,  9.81 ,  13.15 ,  8.17 ,  9.54 ,  18.44 ,  14.73 ,  9.60 ,  8.90 
EASTW       ,  10.17 ,  10.27 ,  12.05 ,  10.88 ,  8.82 ,  7.75 ,  2.51 ,  13.53 ,  14.52 ,  14.63 ,  14.59 ,  13.73 ,  12.50 ,  11.99 
ECL         ,,,  1.81 ,  2.40 ,  1.87 ,  (0.48),  3.71 ,  3.93 ,  3.20 ,  2.45 ,  3.13 ,  3.17 ,  3.65 ,  3.33 
EE          ,  7.61 ,  1.75 ,  4.81 ,  4.98 ,  (2.47),  (4.76),  0.55 ,  (5.08),  (2.91),  (0.57),  4.15 ,  0.84 ,  0.09 ,  (6.81)
EGCO        ,  11.12 ,  16.28 ,  13.83 ,  11.50 ,  13.82 ,  15.92 ,  14.93 ,  15.24 ,  12.34 ,  8.75 ,  13.75 ,  9.26 ,  7.81 ,  6.87 
EIC         ,,  13.54 ,  12.80 ,  5.69 ,  3.32 ,  8.06 ,  7.67 ,  (4.32),  1.51 ,  1.33 ,  (1.08),  (2.28),  (38.58),  (37.60)
EMC         ,  34.69 ,  28.52 ,  21.70 ,  2.30 ,  2.94 ,  8.41 ,  5.56 ,  (3.66),  (3.08),  1.56 ,  1.63 ,  (61.33),  (12.02),  (7.50)
EPCO        ,  25.42 ,  (18.46),  14.35 ,  14.18 ,  15.23 ,  19.47 ,  17.60 ,  14.84 ,  15.40 ,  11.78 ,  7.30 ,  11.27 ,  12.57 ,  11.79 
ERW         ,  5.85 ,  6.96 ,  6.95 ,  6.44 ,  8.82 ,  8.23 ,  4.43 ,  1.20 ,  0.92 ,  7.86 ,  4.97 ,  10.74 ,  1.90 ,  4.90 
ESSO        ,,,,,,,  (15.75),  11.50 ,  4.02 ,  5.25 ,  1.08 ,  1.37 ,  (17.50),  4.57 
ESTAR       ,  (3.42),  3.93 ,  2.30 ,  (3.48),  0.44 ,  3.50 ,  3.08 ,  0.45 ,  1.04 ,  (3.36),  (3.02),  4.05 ,  5.52 ,  2.66 
EVER        ,  (17.78),  (2.58),,,  5.77 ,  3.72 ,  3.72 ,  (17.77),  (1.69),  23.43 ,  (4.00),  0.62 ,  2.02 ,  (1.39)
F&D         ,  13.98 ,  12.73 ,  2.25 ,  0.35 ,  (3.08),  1.28 ,  4.72 ,  11.58 ,  10.28 ,  4.82 ,  7.99 ,  2.21 ,  (3.44),  (12.62)
FANCY       ,  46.59 ,  18.34 ,  19.73 ,  10.02 ,  (1.21),  2.73 ,  (0.10),  5.89 ,  3.98 ,  (2.40),  (5.22),  1.83 ,  2.54 ,  (5.25)
FE          ,  10.84 ,  9.92 ,  8.75 ,  8.82 ,  8.84 ,  9.17 ,  9.32 ,  10.48 ,  11.28 ,  13.08 ,  11.68 ,  9.39 ,  6.26 ,  9.28 
FMT         ,  8.95 ,  8.69 ,  9.39 ,  6.85 ,  3.64 ,  3.09 ,  4.08 ,  (5.05),  3.54 ,  2.53 ,  1.36 ,  2.94 ,  4.56 ,  5.62 
FNS         ,  6.26 ,  6.80 ,  6.02 ,  1.65 ,  (2.37),  (2.70),  (7.77),  (11.80),  0.80 ,  (7.82),  (0.10),  4.03 ,  2.54 ,  18.85 
FOCUS       ,,,  0.93 ,  1.24 ,  2.68 ,  3.71 ,  (0.26),  (3.83),  (18.36),  3.83 ,  11.99 ,  (3.58),  (4.54),  3.11 
FORTH       ,,,,,  15.59 ,  10.55 ,  1.04 ,  3.67 ,  7.03 ,  9.06 ,  4.94 ,  9.35 ,  9.80 ,  13.15 
FSS         ,,,  10.46 ,  4.05 ,  (0.59),  (1.02),  (9.47),  1.28 ,  6.46 ,  4.60 ,  6.79 ,  12.84 ,  7.37 ,  4.53 
GBX         ,,,  7.12 ,  12.74 ,  (0.03),  1.27 ,  (7.27),  4.70 ,  6.10 ,  3.83 ,  1.11 ,  3.09 ,  2.41 ,  0.78 
GC          ,,,,  8.51 ,  12.86 ,  17.72 ,  14.82 ,  15.94 ,  18.66 ,  12.09 ,  10.65 ,  8.69 ,  6.43 ,  8.89 
GENCO       ,  (0.42),  (5.15),  (17.68),  1.24 ,  1.22 ,  5.60 ,  1.23 ,  (5.31),  0.31 ,  1.80 ,  3.20 ,  2.06 ,  0.82 ,  0.62 
GFPT        ,  13.91 ,  5.76 ,  (8.12),  8.24 ,  3.41 ,  6.38 ,  17.77 ,  15.96 ,  15.88 ,  14.97 ,  1.72 ,  13.21 ,  14.17 ,  9.17 
GJS         ,  22.40 ,  1.15 ,  3.02 ,  (0.62),  (9.13),  0.73 ,  (11.50),  (21.50),  (12.95),  (4.01),  (6.91),  (6.69),  (1.20),  (6.46)
GL          ,,,  9.61 ,  11.60 ,  9.70 ,  10.57 ,  12.61 ,  11.13 ,  15.54 ,  13.75 ,  15.81 ,  6.79 ,  2.10 ,  8.05 
GLAND       ,  (0.99),  37.27 ,  22.94 ,  5.24 ,  8.78 ,  8.99 ,  8.16 ,  (0.51),  (0.69),  0.20 ,  1.21 ,  5.73 ,  9.56 ,  13.22 
GLOBAL      ,,,,,,,,  11.27 ,  10.96 ,  11.43 ,  9.59 ,  8.40 ,  5.43 ,  5.63 
GLOW        ,,,,  9.36 ,  12.80 ,  11.47 ,  7.49 ,  7.70 ,  8.67 ,  5.23 ,  7.57 ,  9.67 ,  12.41 ,  11.80 
GOLD        ,  2.58 ,  5.55 ,  6.12 ,  (0.06),  5.25 ,  9.45 ,  (2.16),  (1.61),  (0.97),  (0.50),  (3.03),  (1.64),  3.19 ,  4.89 
GRAMMY      ,  20.63 ,  15.30 ,  19.14 ,  7.87 ,  7.61 ,  13.46 ,  16.93 ,  10.71 ,  11.91 ,  12.86 ,  0.44 ,  (8.29),  (4.96),  (7.90)
GRAND       ,,,  4.18 ,  2.24 ,  0.62 ,  (7.99),  0.31 ,  (2.06),  (2.66),  (3.54),  (3.46),  (1.05),  14.50 ,  (0.65)
GUNKUL      ,,,,,,,,,  10.59 ,  8.49 ,  17.62 ,  18.89 ,  11.53 ,  7.09 
GYT         ,  10.85 ,  10.69 ,  13.77 ,  11.92 ,  7.43 ,  (0.77),  1.24 ,  7.92 ,  12.14 ,  (2.10),  24.47 ,  8.90 ,  6.46 ,  9.80 
HANA        ,  14.03 ,  21.42 ,  22.76 ,  21.03 ,  19.99 ,  19.56 ,  14.52 ,  14.47 ,  17.44 ,  9.62 ,  9.69 ,  12.65 ,  17.91 ,  9.39 
HFT         ,,  6.40 ,  3.74 ,  (3.69),  0.11 ,  2.62 ,  5.08 ,  9.65 ,  8.96 ,  10.70 ,  11.55 ,  19.49 ,  15.46 ,  19.53 
HMPRO       ,  5.97 ,  8.04 ,  10.57 ,  10.10 ,  9.61 ,  9.38 ,  11.59 ,  12.88 ,  15.80 ,  16.34 ,  15.61 ,  13.39 ,  11.51 ,  10.87 
HTC         ,  8.25 ,  6.21 ,  5.64 ,  1.66 ,  4.95 ,  1.03 ,  1.84 ,  3.62 ,  5.38 ,  3.17 ,  6.51 ,  7.76 ,  4.51 ,  3.44 
HTECH       ,,,,,,,,  16.91 ,  18.90 ,  16.69 ,  16.04 ,  9.03 ,  10.29 ,  9.88 
HYDRO       ,,,,,,,,,,  10.46 ,  12.90 ,  (1.08),  (27.22),  (10.07)
ICC         ,  8.92 ,  6.12 ,  7.86 ,  8.38 ,  8.18 ,  7.35 ,  7.99 ,  6.66 ,  7.43 ,  7.06 ,  7.03 ,  4.34 ,  3.32 ,  4.37 
IEC         ,  (27.14),  (6.47),  (3.10),  (12.42),  (40.28),  9.21 ,  (40.98),  (20.92),  (42.59),  (16.29),  (14.42),  5.09 ,  -   ,  (0.19)
IFEC        ,  11.26 ,  12.08 ,  10.17 ,  8.65 ,  15.89 ,  11.85 ,  9.10 ,  11.84 ,  16.72 ,  11.33 ,  23.03 ,  4.71 ,  3.88 ,  4.40 
