Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BROOK       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BSBM        ,,,,  0.27 ,  -   ,  -   ,  0.17 ,  0.04 ,  0.31 ,  0.05 ,  0.00 ,  -   ,  -   ,  0.07 
BSM         ,,,,,,,  0.39 ,  0.37 ,  0.42 ,  0.36 ,  0.34 ,  0.25 ,  0.26 ,  0.26 
BTC         ,,  0.24 ,  0.11 ,  0.10 ,  0.57 ,  0.59 ,  0.50 ,  0.81 ,  0.19 ,  0.43 ,,  -   ,  0.03 ,  0.00 
BTNC        ,  0.27 ,  0.17 ,  0.07 ,  0.02 ,  0.06 ,  0.05 ,  0.03 ,  0.06 ,  0.11 ,  0.25 ,  0.14 ,  0.35 ,  0.36 ,  0.41 
BTS         ,,,,  (1.69),  (1.23),  2.46 ,  0.72 ,  0.74 ,  0.48 ,  0.68 ,  0.76 ,  0.13 ,  0.08 ,  0.10 
BUI         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BWG         ,,,,,,  0.15 ,  0.20 ,  0.36 ,  0.32 ,  0.22 ,  0.25 ,  0.37 ,  0.41 ,  0.35 
CCET        ,  0.48 ,  0.65 ,  0.95 ,  0.57 ,  0.29 ,  0.63 ,  0.98 ,  0.55 ,  0.71 ,  0.90 ,  1.14 ,  1.32 ,  1.15 ,  1.19 
CCP         ,,  0.55 ,  1.47 ,  2.38 ,  3.08 ,  3.25 ,  3.31 ,  5.03 ,  3.67 ,  3.46 ,  1.53 ,  0.39 ,  0.33 ,  0.46 
CEN         ,  0.20 ,  5.17 ,  0.62 ,  0.01 ,  0.03 ,  0.01 ,  0.03 ,  0.02 ,  0.03 ,  0.18 ,  0.20 ,  0.34 ,  0.24 ,  0.18 
CENTEL      ,  0.18 ,  0.86 ,  0.56 ,  0.97 ,  1.09 ,  1.12 ,  1.02 ,  1.38 ,  1.63 ,  1.72 ,  1.28 ,  1.10 ,  0.93 ,  0.93 
CFRESH      ,  0.92 ,  0.82 ,  0.22 ,  0.16 ,  0.09 ,  0.06 ,  0.06 ,  0.00 ,  -   ,  0.22 ,  0.39 ,  1.36 ,  1.10 ,  1.10 
CGD         ,  38.84 ,  (13.25),  (7.07),  (5.70),  -   ,,,,,,,,  0.49 ,  0.54 
CHARAN      ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CHOTI       ,  0.06 ,  0.20 ,  0.07 ,  0.16 ,  0.10 ,  0.09 ,  0.22 ,  0.00 ,  0.02 ,  0.00 ,  0.12 ,  0.23 ,  0.18 ,  0.24 
CHOW        ,,,,,,,,,,  1.23 ,  1.62 ,  1.15 ,  2.40 ,  5.28 
CHUO        ,  1.44 ,  2.42 ,  2.38 ,  0.04 ,  0.26 ,  0.16 ,  0.08 ,  0.00 ,  0.00 ,  0.01 ,  0.06 ,  0.07 ,  0.04 ,  0.03 
CI          ,  0.30 ,  0.55 ,  0.27 ,  0.68 ,  0.79 ,  0.93 ,  1.57 ,  1.41 ,  1.56 ,  2.03 ,  1.30 ,  0.95 ,  1.53 ,  2.48 
CIG         ,,,,  1.04 ,  1.55 ,,  1.23 ,  1.09 ,  1.27 ,  1.72 ,  1.08 ,  0.89 ,  0.27 ,  0.28 
CIMBT       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CITY        ,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CK          ,  1.46 ,  0.75 ,  2.24 ,  3.19 ,  4.14 ,  2.13 ,  2.97 ,  3.48 ,  3.40 ,  3.57 ,  3.33 ,  2.26 ,  2.22 ,  2.63 
CM          ,  0.05 ,  0.09 ,  0.07 ,  0.07 ,  -   ,  0.03 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CMO         ,,,  0.32 ,  0.11 ,  0.12 ,  0.57 ,  0.63 ,  0.87 ,  0.67 ,  0.76 ,  0.55 ,  1.10 ,  1.53 ,  1.20 
CMR         ,  0.20 ,  0.10 ,  0.05 ,  -   ,  -   ,  -   ,  0.79 ,  0.35 ,  0.24 ,  0.26 ,  0.40 ,  0.39 ,  0.33 ,  0.25 
CNS         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CNT         ,  (0.68),  0.15 ,  0.02 ,  0.02 ,  0.04 ,  0.06 ,  0.64 ,  0.07 ,  0.03 ,  0.01 ,  0.00 ,  0.13 ,  0.20 ,  0.27 
COLOR       ,,,,,,,,,,  1.31 ,  3.26 ,  2.37 ,  0.40 ,  0.30 
CPALL       ,,  0.04 ,  0.16 ,  0.45 ,  0.82 ,  0.94 ,  0.01 ,  0.00 ,  -   ,  0.00 ,  -   ,  6.44 ,  6.95 ,  5.07 
CPF         ,  0.83 ,  0.93 ,  0.99 ,  0.77 ,  0.95 ,  1.01 ,  1.05 ,  0.82 ,  0.80 ,  1.09 ,  1.35 ,  1.69 ,  1.65 ,  2.22 
CPH         ,  0.46 ,  0.33 ,  0.18 ,  0.08 ,  0.10 ,  0.23 ,  0.17 ,  0.12 ,  0.08 ,  0.27 ,  0.28 ,  0.49 ,  0.47 ,  0.51 
CPI         ,  0.46 ,  0.27 ,  0.26 ,  0.85 ,  1.15 ,  0.93 ,  0.71 ,  0.71 ,,  0.80 ,  0.76 ,  0.75 ,  0.60 ,  0.86 
CPL         ,  0.07 ,  0.19 ,  0.32 ,  0.31 ,  0.04 ,  0.06 ,  0.03 ,  0.00 ,  0.06 ,  0.03 ,  -   ,  0.10 ,  0.17 ,  0.38 
CPN         ,  1.31 ,  1.05 ,  1.14 ,  0.99 ,  0.92 ,  0.93 ,  1.05 ,  0.96 ,  1.02 ,  1.27 ,  1.02 ,  0.55 ,  0.39 ,  0.49 
CPR         ,,,,  0.36 ,  0.32 ,  0.21 ,  0.14 ,  0.06 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
