,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BSBM        ,,,,  -   ,  0.20 ,  0.18 ,  0.18 ,  0.08 ,  0.12 ,  0.08 ,  -   ,  0.08 ,  0.03 ,
BSM         ,,,,,,,  -   ,  0.01 ,  -   ,  -   ,  -   ,  0.07 ,  0.00 ,  0.00 
BTC         ,,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,
BTNC        ,  -   ,  0.75 ,  1.00 ,  0.70 ,  -   ,  0.11 ,  0.11 ,  0.35 ,  0.75 ,  0.50 ,  0.50 ,,  0.50 ,
BTS         ,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.23 ,  0.15 ,  0.65 ,  0.30 ,  0.64 
BUI         ,  0.16 ,  0.16 ,  0.31 ,  0.20 ,  0.33 ,  0.47 ,  0.47 ,  0.50 ,  0.53 ,  -   ,  -   ,  0.80 ,  0.40 ,  1.00 
BWG         ,,,,,,  0.03 ,  0.02 ,  -   ,  0.00 ,  0.01 ,  0.01 ,  0.11 ,  0.03 ,  0.04 
CCET        ,  0.28 ,  0.27 ,  0.28 ,  0.28 ,  0.37 ,  0.37 ,  0.18 ,  0.10 ,  0.14 ,  0.15 ,  0.15 ,  0.08 ,  0.08 ,  0.13 
CCP         ,,  0.01 ,  0.02 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.09 ,  0.00 ,  0.02 
CEN         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.05 ,  -   ,  -   ,  0.06 ,  0.05 ,  0.05 ,
CENTEL      ,  0.11 ,  0.11 ,  0.18 ,  0.18 ,  0.13 ,  0.13 ,  0.10 ,  0.05 ,  0.05 ,  0.15 ,  0.30 ,  0.40 ,  0.40 ,  0.50 
CFRESH      ,  0.07 ,  -   ,  -   ,  0.27 ,  0.16 ,  0.16 ,  0.25 ,  0.41 ,  0.16 ,  0.46 ,  0.71 ,,,  0.55 
CGD         ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,
CHARAN      ,  1.50 ,  1.50 ,  1.50 ,  1.75 ,  2.50 ,  2.50 ,  2.00 ,  2.00 ,  1.00 ,  -   ,  1.50 ,  1.50 ,  2.50 ,  2.00 
CHOTI       ,  -   ,  -   ,  7.80 ,  4.50 ,  3.60 ,  8.00 ,  9.40 ,  14.00 ,  23.70 ,  33.90 ,  20.00 ,  3.00 ,,  4.00 
CHOW        ,,,,,,,,,,  0.10 ,  -   ,  0.10 ,,
CHUO        ,  0.15 ,  0.15 ,  0.20 ,  1.12 ,  0.56 ,  0.51 ,  0.36 ,  0.15 ,  0.41 ,  0.15 ,  0.15 ,  1.10 ,  0.60 ,
CI          ,  0.02 ,  0.03 ,  -   ,  0.03 ,  0.02 ,  0.02 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.02 ,  0.10 ,  0.07 ,  0.02 
CIG         ,,,,  0.08 ,  0.06 ,,  0.02 ,  -   ,  -   ,  -   ,  -   ,,,
CIMBT       ,  0.02 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.00 ,  0.01 ,  0.01 ,  0.01 
CITY        ,,,,,  0.16 ,  0.14 ,  0.14 ,  0.11 ,  0.08 ,  0.10 ,  0.16 ,  0.16 ,  0.16 ,  0.12 
CK          ,  -   ,  -   ,  0.10 ,  0.35 ,  -   ,  0.20 ,  0.10 ,  0.10 ,  0.10 ,  0.34 ,  0.34 ,  0.40 ,  0.55 ,  0.65 
CM          ,  0.17 ,  0.17 ,  0.14 ,  0.21 ,  0.21 ,  0.27 ,  0.27 ,  0.50 ,  0.35 ,  0.14 ,  0.28 ,  0.31 ,  0.10 ,  0.20 
CMO         ,,,  0.17 ,  0.13 ,  0.30 ,  0.08 ,  -   ,  -   ,  0.16 ,  -   ,  0.12 ,  0.10 ,,
CMR         ,  0.26 ,  0.32 ,  0.26 ,  0.26 ,  0.51 ,  1.50 ,  1.00 ,  1.25 ,  2.75 ,  1.90 ,  2.50 ,  3.00 ,  3.60 ,  4.16 
CNS         ,  0.06 ,  0.08 ,  0.23 ,  0.11 ,  0.06 ,  0.06 ,  0.07 ,  0.04 ,  0.08 ,  0.16 ,  0.07 ,  0.17 ,  0.18 ,  0.18 
CNT         ,  -   ,  -   ,  0.01 ,  0.04 ,  0.02 ,  0.04 ,  0.03 ,  0.08 ,  0.25 ,  0.15 ,  0.26 ,  0.15 ,  0.05 ,
COLOR       ,,,,,,,,,,  0.07 ,  -   ,,,
CPALL       ,,  0.01 ,  0.01 ,  0.15 ,  0.13 ,  0.18 ,  0.30 ,  0.40 ,  0.70 ,  0.63 ,  0.90 ,  0.90 ,  0.80 ,  0.90 
CPF         ,  0.31 ,  0.18 ,  0.11 ,  0.47 ,  0.19 ,  0.09 ,  0.18 ,  0.68 ,  0.98 ,  1.18 ,  1.10 ,  0.50 ,  0.75 ,  0.75 
CPH         ,  -   ,  -   ,  0.50 ,  0.50 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
CPI         ,  0.22 ,  0.21 ,  0.21 ,  0.00 ,  0.00 ,  0.05 ,  0.27 ,  0.10 ,,  0.12 ,  0.03 ,  0.03 ,  0.06 ,  0.03 
CPL         ,  3.31 ,  1.65 ,  0.83 ,  -   ,  1.50 ,  1.00 ,  1.50 ,  2.50 ,  1.75 ,  2.00 ,  1.75 ,  2.00 ,  2.50 ,  1.50 
CPN         ,  0.10 ,  0.11 ,  0.13 ,  0.20 ,  0.16 ,  0.17 ,  0.17 ,  0.29 ,  0.13 ,  0.19 ,  0.48 ,  0.55 ,  0.65 ,  0.70 
CPR         ,,,,  0.13 ,  0.02 ,  0.02 ,  0.04 ,  0.03 ,  0.09 ,  0.08 ,  0.09 ,  0.08 ,  0.08 ,  0.11 
CRANE       ,,,,,,,,,,,,  0.01 ,  0.01 ,
CSC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.67 ,  0.77 ,  1.00 ,  1.20 ,  1.00 ,  1.50 ,  1.75 ,  1.75 ,  1.75 
CSL         ,,,  0.40 ,  0.45 ,  0.14 ,  0.38 ,  0.41 ,  0.38 ,  0.50 ,  0.54 ,  0.60 ,  0.70 ,  0.57 ,  0.44 
CSP         ,,,,  0.15 ,  0.12 ,  0.10 ,  0.30 ,  -   ,  0.16 ,  0.12 ,  0.15 ,  0.13 ,  0.16 ,
CSR         ,  2.00 ,  2.00 ,  2.00 ,  2.20 ,  2.20 ,  2.20 ,  1.80 ,  1.90 ,  1.80 ,  1.40 ,  2.00 ,  2.35 ,  2.09 ,  2.04 
CTW         ,  0.40 ,  0.61 ,  0.60 ,  0.62 ,  0.70 ,  0.50 ,  -   ,  -   ,  0.50 ,  0.50 ,  0.60 ,  0.70 ,  0.35 ,  0.20 
CWT         ,  -   ,  -   ,  0.15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.06 ,  0.01 ,,,  0.05 
DCC         ,  0.03 ,  0.04 ,  0.07 ,  0.08 ,  0.06 ,  0.06 ,  0.08 ,  0.13 ,  0.18 ,  0.19 ,  0.19 ,  3.04 ,  1.55 ,  0.20 
DCON        ,,,  0.02 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.02 ,  0.03 ,  1.04 ,  0.15 ,  0.04 
DELTA       ,  2.80 ,  0.80 ,  0.80 ,  1.25 ,  1.30 ,  1.60 ,  1.10 ,  1.50 ,  1.70 ,  1.20 ,  2.40 ,  2.70 ,  3.00 ,  3.10 
DEMCO       ,,,,,,,,,,  0.12 ,  0.34 ,  0.15 ,  0.26 ,  0.13 
DIMET       ,,,,,,,  0.01 ,  0.02 ,  0.01 ,  -   ,  -   ,,,
DRACO       ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.03 ,  0.15 ,  0.12 ,  0.17 ,  0.10 ,  0.10 ,  0.10 ,  0.10 ,
DRT         ,,,,  0.02 ,  0.04 ,  0.30 ,  0.25 ,  0.29 ,  0.35 ,  0.38 ,  0.40 ,  0.38 ,  0.27 ,  0.25 
DSGT        ,,,,,  0.03 ,  0.07 ,  0.08 ,  0.09 ,  0.10 ,  0.11 ,  0.13 ,  0.21 ,  0.18 ,  0.05 
DTAC        ,,,,,,  0.73 ,  1.50 ,  1.39 ,  3.21 ,  17.84 ,  5.06 ,  4.02 ,  6.38 ,  2.04 
DTC         ,  0.28 ,  0.25 ,  0.24 ,  0.19 ,  0.17 ,  0.10 ,  0.10 ,  0.05 ,  0.05 ,  0.05 ,  0.10 ,  1.00 ,  1.00 ,  1.20 
DTCI        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.35 ,  0.50 ,  0.50 ,  0.50 ,  0.50 ,  0.20 ,  0.60 
E           ,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
EARTH       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.03 ,  0.10 ,  0.15 
EASON       ,,,,  0.17 ,  0.16 ,  0.17 ,  0.12 ,  0.11 ,  0.13 ,  0.15 ,  0.21 ,  0.16 ,  0.12 ,  0.04 
EASTW       ,  0.16 ,  0.17 ,  0.32 ,  0.25 ,  0.25 ,  0.30 ,  0.25 ,  0.35 ,  0.38 ,  0.42 ,  0.24 ,  0.42 ,  0.45 ,  0.47 
ECL         ,,,  0.01 ,  0.04 ,  0.02 ,  -   ,  0.06 ,  0.06 ,  0.06 ,  0.05 ,  0.08 ,  0.03 ,  0.08 ,
EE          ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
EGCO        ,  2.50 ,  2.75 ,  3.00 ,  3.25 ,  4.00 ,  4.75 ,  5.00 ,  5.25 ,  5.25 ,  5.25 ,  6.00 ,  6.00 ,  6.25 ,  6.25 
EIC         ,,  0.01 ,  0.02 ,  0.01 ,  0.01 ,  0.07 ,  0.05 ,  -   ,  0.02 ,  0.01 ,  -   ,,,
EMC         ,  -   ,  -   ,  -   ,  0.01 ,  0.03 ,  0.10 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
EPCO        ,  -   ,  -   ,  -   ,  0.06 ,  0.13 ,  0.24 ,  0.18 ,  0.17 ,  0.21 ,  0.15 ,  0.09 ,  0.17 ,  0.32 ,  0.18 
ERW         ,  -   ,  0.09 ,  0.05 ,  0.03 ,  0.05 ,  0.06 ,  0.01 ,  -   ,  -   ,  0.08 ,  0.02 ,  0.15 ,  0.04 ,  0.04 
ESSO        ,,,,,,,  -   ,  0.25 ,  0.20 ,  0.05 ,  0.05 ,,,
ESTAR       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  0.03 ,  0.03 
EVER        ,  -   ,  -   ,,,  -   ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
F&D         ,  2.50 ,  2.50 ,  0.29 ,  -   ,  -   ,  -   ,  -   ,  0.91 ,  1.11 ,  0.53 ,  1.05 ,  0.17 ,,
FANCY       ,  1.28 ,  0.51 ,  0.60 ,  0.37 ,  -   ,  -   ,  0.08 ,  0.16 ,  0.23 ,  -   ,  -   ,  0.10 ,  0.05 ,
FE          ,  1.17 ,  5.00 ,  5.00 ,  5.00 ,  5.00 ,  5.00 ,  5.00 ,  5.00 ,  8.00 ,  9.00 ,  8.00 ,  7.00 ,  5.00 ,  6.00 
FMT         ,  2.50 ,  3.00 ,  3.40 ,  3.00 ,  0.50 ,  0.50 ,  0.50 ,  -   ,  1.00 ,  0.25 ,  -   ,  0.38 ,  1.00 ,  1.25 
FNS         ,  0.40 ,  0.54 ,  0.50 ,  0.50 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  0.10 ,  0.30 
FOCUS       ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
FORTH       ,,,,,  0.05 ,  0.04 ,  -   ,  -   ,  0.27 ,  0.29 ,  0.12 ,  0.27 ,  0.30 ,  0.32 
FSS         ,,,  0.31 ,  0.11 ,  -   ,  -   ,  -   ,  0.01 ,  0.09 ,  0.05 ,  0.13 ,  0.03 ,  0.17 ,  0.13 
GBX         ,,,  0.07 ,  0.16 ,  -   ,  0.03 ,  -   ,  -   ,  -   ,  0.04 ,  -   ,  0.03 ,,  0.02 
GC          ,,,,  0.14 ,  0.25 ,  0.40 ,  0.32 ,  0.40 ,  0.50 ,  0.40 ,  0.36 ,  0.32 ,  0.23 ,  0.35 
GENCO       ,  -   ,  -   ,  -   ,  0.01 ,  0.01 ,  0.03 ,  0.01 ,  -   ,  -   ,  0.01 ,  -   ,,,
GFPT        ,  0.32 ,  -   ,  -   ,  0.12 ,  0.03 ,  0.08 ,  0.25 ,  0.25 ,  0.30 ,  0.33 ,  -   ,  0.35 ,  0.40 ,  0.25 
GJS         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
GL          ,,,  0.03 ,  0.08 ,  -   ,  0.12 ,  0.02 ,  0.12 ,  0.27 ,  0.18 ,  0.22 ,  0.17 ,  0.06 ,  0.16 
GLAND       ,  -   ,  -   ,  0.12 ,  -   ,  0.06 ,  0.06 ,  0.07 ,  0.03 ,  0.00 ,  0.03 ,  -   ,  0.04 ,  0.07 ,  0.25 
GLOBAL      ,,,,,,,,  0.04 ,  0.02 ,  0.01 ,  0.01 ,  0.02 ,  0.02 ,  0.05 
GLOW        ,,,,  2.25 ,  1.58 ,  1.65 ,  1.74 ,  1.82 ,  1.91 ,  2.01 ,  2.11 ,  2.76 ,  3.31 ,  5.75 
GOLD        ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.05 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.10 
GRAMMY      ,  1.87 ,  1.02 ,  1.14 ,  0.33 ,  0.37 ,  0.61 ,  1.22 ,  0.81 ,  0.76 ,  0.50 ,  -   ,,,
GRAND       ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  0.01 ,
GUNKUL      ,,,,,,,,,  0.01 ,  0.01 ,  0.01 ,  0.04 ,  0.03 ,  0.06 
GYT         ,  40.00 ,  15.00 ,  20.00 ,  20.00 ,  6.00 ,  5.00 ,  5.00 ,  10.00 ,  20.00 ,  -   ,  63.00 ,  20.00 ,  20.00 ,  20.00 
HANA        ,  0.80 ,  1.00 ,  1.10 ,  1.40 ,  1.50 ,  1.30 ,  1.18 ,  1.36 ,  1.50 ,  0.97 ,  1.00 ,  1.50 ,  2.00 ,  2.00 
HFT         ,,  0.01 ,  0.00 ,  -   ,  -   ,  0.13 ,  0.20 ,  0.08 ,  0.11 ,  0.06 ,  0.08 ,  0.15 ,  0.15 ,  0.20 
HMPRO       ,  0.01 ,  0.01 ,  0.02 ,  0.02 ,  0.02 ,  0.03 ,  0.05 ,  0.06 ,  0.01 ,  0.07 ,  0.01 ,  0.03 ,  0.09 ,  0.25 
