,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SITHAI      ,  -   ,  0.03 ,  0.05 ,  0.05 ,  0.07 ,  0.05 ,  0.04 ,  0.04 ,  0.06 ,  0.08 ,  0.11 ,  1.00 ,  0.10 ,  0.10 
SKR         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.09 ,  0.42 ,  0.41 ,  0.49 ,  0.61 ,  0.80 ,  0.85 ,  0.65 
SMC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,
SMIT        ,,,,  0.12 ,  0.12 ,  0.14 ,  0.11 ,  0.05 ,  0.19 ,  0.22 ,  0.32 ,  0.26 ,  0.22 ,  0.26 
SMK         ,  2.00 ,  2.20 ,  2.40 ,  2.70 ,  3.00 ,  3.50 ,  2.85 ,  4.50 ,  8.00 ,  9.00 ,  11.00 ,  14.75 ,  17.03 ,  17.28 
SMM         ,,,,  0.04 ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.02 ,  0.01 ,  0.02 ,,
SMPC        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  0.90 ,  0.44 
SMT         ,,,,,,,,  0.14 ,  0.34 ,  0.10 ,  -   ,,,
SNC         ,,,  0.20 ,  0.27 ,  0.45 ,  0.45 ,  0.45 ,  0.29 ,  0.95 ,  1.53 ,  1.60 ,  1.00 ,  0.66 ,  0.90 
SOLAR       ,,,,  0.11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.05 ,  0.05 ,  0.03 ,
SORKON      ,  0.24 ,  0.06 ,  0.30 ,  0.03 ,  0.15 ,  0.16 ,  0.24 ,  0.40 ,  0.48 ,  0.95 ,  1.90 ,  2.43 ,  2.75 ,  2.75 
SPACK       ,,,  0.04 ,  0.25 ,  0.30 ,  0.32 ,  0.36 ,  0.40 ,  0.13 ,  0.24 ,  0.17 ,  0.03 ,  0.01 ,  0.03 
SPALI       ,  -   ,  0.50 ,  0.20 ,  0.25 ,  0.27 ,  0.25 ,  0.14 ,  0.58 ,  0.60 ,  0.65 ,  0.65 ,  0.70 ,  1.00 ,  1.00 
SPC         ,  0.20 ,  0.20 ,  0.34 ,  0.49 ,  0.49 ,  0.54 ,  0.60 ,  0.65 ,  0.75 ,  0.90 ,  1.00 ,  1.00 ,  1.00 ,  1.10 
SPCG        ,,,,,,,,,,,  -   ,,  0.85 ,  1.25 
SPG         ,  0.33 ,  0.33 ,  0.23 ,  0.20 ,  0.25 ,  0.38 ,  0.42 ,  0.50 ,  0.50 ,  0.50 ,  0.90 ,  0.90 ,  0.70 ,  0.70 
SPI         ,  0.20 ,  0.20 ,  0.20 ,  0.20 ,  0.20 ,  0.20 ,  0.20 ,  0.20 ,  0.22 ,  0.23 ,  0.23 ,  0.23 ,  0.23 ,  0.23 
SPORT       ,  -   ,  0.29 ,  0.24 ,  0.10 ,  0.23 ,  0.10 ,  0.10 ,  0.16 ,  0.16 ,  0.12 ,  0.10 ,  0.07 ,,
SPPT        ,,,,  0.33 ,  0.35 ,  0.28 ,  0.19 ,  0.10 ,  0.27 ,  0.15 ,  0.20 ,  0.05 ,,
SSC         ,  0.90 ,  1.40 ,  0.90 ,  1.00 ,  1.00 ,  0.90 ,  0.75 ,  2.00 ,  1.25 ,  0.75 ,  2.50 ,,,
SSF         ,  0.28 ,  -   ,  0.19 ,  0.13 ,  0.16 ,  0.18 ,  0.30 ,  0.56 ,  0.20 ,  0.57 ,  0.52 ,  0.35 ,  0.27 ,  0.43 
SSI         ,  -   ,  -   ,  0.15 ,  -   ,  0.02 ,  0.05 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
SSSC        ,  -   ,  -   ,  -   ,  0.18 ,  3.15 ,  2.25 ,  1.18 ,  0.75 ,  2.60 ,  2.60 ,  3.60 ,  3.80 ,  2.60 ,  1.60 
SST         ,  0.07 ,  0.11 ,  0.15 ,  0.18 ,  0.14 ,  0.08 ,  0.11 ,  0.05 ,  0.14 ,  0.01 ,  0.01 ,  0.03 ,  0.04 ,  0.01 
STA         ,  0.16 ,  0.12 ,  0.29 ,  0.05 ,  0.30 ,  0.20 ,  0.20 ,  0.60 ,  1.60 ,  0.50 ,  0.50 ,  0.65 ,  0.40 ,  0.40 
STANLY      ,  1.45 ,  2.10 ,  3.75 ,  3.75 ,  4.60 ,  4.85 ,  5.30 ,  5.00 ,  5.00 ,  6.50 ,  3.00 ,  6.75 ,  6.00 ,  4.80 
STAR        ,,,,  -   ,  -   ,  -   ,  0.02 ,  0.07 ,  0.03 ,  -   ,  -   ,,,
STEC        ,  -   ,  0.23 ,  0.05 ,  0.21 ,  -   ,  -   ,  -   ,  0.10 ,  0.17 ,  0.43 ,  0.02 ,  0.50 ,  0.40 ,  0.33 
STHAI       ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
STPI        ,  -   ,  -   ,  -   ,  -   ,  0.01 ,  -   ,  0.51 ,  0.50 ,  0.79 ,  0.07 ,  0.23 ,  0.34 ,  0.50 ,  0.37 
SUC         ,  1.25 ,  1.25 ,  1.25 ,  1.25 ,  1.25 ,  1.25 ,  1.00 ,  1.50 ,  1.75 ,  1.50 ,  1.50 ,  2.00 ,  1.75 ,  1.50 
SUPER       ,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
SUSCO       ,  -   ,  0.05 ,  0.03 ,  0.03 ,  -   ,  -   ,  -   ,  0.05 ,  0.05 ,  0.08 ,  0.12 ,  0.12 ,  0.08 ,  0.08 
SVH         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.00 ,  2.00 ,  2.52 ,  4.00 ,  4.25 ,  5.50 ,  8.00 ,  10.00 
SVI         ,  -   ,  0.03 ,  -   ,  0.04 ,  0.05 ,  0.05 ,  0.05 ,  0.15 ,  0.16 ,  -   ,  -   ,  0.15 ,  0.08 ,  0.08 
SVOA        ,  0.08 ,  0.08 ,  0.12 ,  0.06 ,  0.10 ,  0.02 ,  -   ,  0.05 ,  0.06 ,  0.05 ,  0.02 ,  0.01 ,  0.01 ,  0.06 
SWC         ,,,  0.06 ,  0.19 ,  0.18 ,  0.29 ,  0.20 ,  0.30 ,  0.30 ,  0.31 ,  0.42 ,  0.44 ,  0.40 ,  0.45 
SYMC        ,,,,,,,,,  0.49 ,  0.49 ,  0.54 ,  0.58 ,  0.43 ,  0.12 
SYNEX       ,,,,,,,  0.11 ,  0.19 ,  0.22 ,  0.24 ,  0.20 ,  0.15 ,  0.13 ,  0.30 
SYNTEC      ,  -   ,,  -   ,  -   ,  -   ,  -   ,  -   ,  0.03 ,  0.03 ,  0.02 ,  -   ,  0.05 ,  0.07 ,  0.11 
TAPAC       ,,,,  0.04 ,  0.11 ,  0.05 ,  0.14 ,  0.15 ,  0.21 ,  0.23 ,  0.24 ,  0.11 ,  0.12 ,  0.10 
TASCO       ,  -   ,  -   ,  -   ,  0.08 ,  0.12 ,  0.08 ,  -   ,  -   ,  -   ,  0.13 ,  -   ,  1.00 ,  2.00 ,  0.90 
TBSP        ,  3.00 ,  4.50 ,  5.90 ,  4.00 ,  5.25 ,  4.75 ,  4.25 ,  4.50 ,  4.10 ,  6.00 ,  6.50 ,  13.00 ,  8.50 ,  5.50 
TC          ,  0.05 ,  0.05 ,  0.05 ,  0.05 ,  0.05 ,  0.05 ,  0.08 ,  0.13 ,  0.06 ,  0.07 ,  0.10 ,  0.10 ,  0.15 ,  0.15 
TCAP        ,  0.50 ,  0.60 ,  0.70 ,  0.80 ,  0.80 ,  0.90 ,  0.88 ,  0.91 ,  1.15 ,  1.15 ,  1.40 ,  1.60 ,  1.60 ,  1.80 
TCB         ,  0.60 ,  0.60 ,  0.60 ,  0.60 ,  0.70 ,  0.90 ,  0.45 ,  0.60 ,  1.00 ,  0.80 ,  0.44 ,  0.55 ,,  1.20 
TCC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.08 
TCCC        ,  0.30 ,  0.40 ,  0.40 ,  0.50 ,  0.60 ,  0.70 ,  0.40 ,  0.90 ,  1.80 ,  1.00 ,  1.40 ,  2.20 ,  2.30 ,  1.50 
TCJ         ,  -   ,  5.49 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.24 ,  -   ,  0.05 ,,  0.05 ,
TCMC        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.04 ,  -   ,  -   ,  0.06 ,  0.04 ,,  0.12 
TCOAT       ,  -   ,  -   ,  1.00 ,  0.50 ,  -   ,  1.00 ,  0.50 ,  1.00 ,  1.00 ,  0.50 ,  0.50 ,  0.65 ,  0.30 ,  0.75 
TEAM        ,,,  0.06 ,  0.09 ,  0.19 ,  0.25 ,  0.09 ,  -   ,  0.13 ,  0.07 ,  0.05 ,,  0.05 ,
TF          ,  1.49 ,  1.23 ,  1.19 ,  1.59 ,  2.19 ,  1.38 ,  1.53 ,  3.00 ,  2.83 ,  2.56 ,  3.16 ,  3.74 ,  3.77 ,  4.16 
TFD         ,  0.01 ,  -   ,  -   ,  0.04 ,  0.05 ,  0.04 ,  0.01 ,  0.01 ,  -   ,  0.01 ,  0.09 ,  0.27 ,,
TFI         ,  -   ,  0.03 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,
TGCI        ,  0.20 ,  0.40 ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  0.10 ,  0.14 ,  0.06 ,  0.08 ,  0.08 
TGPRO       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
TH          ,  -   ,  -   ,  0.01 ,,  0.00 ,  -   ,  0.00 ,  -   ,  -   ,  0.00 ,  -   ,,,
THAI        ,  1.50 ,  2.20 ,  2.50 ,  1.50 ,  1.65 ,  2.25 ,  -   ,  0.25 ,  1.25 ,  -   ,  0.50 ,,,
THANA       ,,,,,,,,  0.12 ,  0.18 ,  0.08 ,  -   ,,,  0.08 
THANI       ,  -   ,  0.04 ,  0.05 ,  0.04 ,  0.02 ,  0.03 ,  0.03 ,  0.05 ,  0.02 ,  0.04 ,  0.02 ,  0.03 ,  0.03 ,  0.18 
THCOM       ,  -   ,  0.25 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.40 ,  0.45 ,  0.65 ,  0.65 
THIP        ,  1.00 ,  0.75 ,  1.00 ,  1.50 ,  1.00 ,  1.00 ,  0.50 ,  2.00 ,  2.00 ,  2.50 ,  3.50 ,  4.50 ,  5.25 ,  10.50 
THL         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
THRE        ,  0.27 ,  0.27 ,  0.33 ,  0.33 ,  0.33 ,  0.35 ,  0.33 ,  0.37 ,  0.37 ,  0.18 ,  -   ,,,
TIC         ,  0.17 ,  0.23 ,  1.22 ,  -   ,  0.75 ,  1.00 ,  -   ,  0.25 ,  0.50 ,  0.25 ,  0.40 ,  1.02 ,  0.80 ,  0.29 
TICON       ,  0.20 ,  0.37 ,  0.50 ,  1.20 ,  1.20 ,  1.20 ,  0.80 ,  0.80 ,  1.00 ,  0.40 ,  1.00 ,  1.00 ,  0.50 ,  0.50 
TIP         ,  0.60 ,  0.72 ,  0.76 ,  1.20 ,  1.20 ,  1.25 ,  1.10 ,  1.20 ,  1.75 ,  1.00 ,  0.50 ,  1.50 ,  2.25 ,  2.50 
TIPCO       ,  0.01 ,  0.11 ,  0.36 ,  0.11 ,  0.35 ,  0.80 ,  0.27 ,  0.15 ,  -   ,  0.12 ,  -   ,,,  0.25 
TISCO       ,,,,,,,,  1.61 ,  2.25 ,  2.35 ,  2.40 ,  2.00 ,  2.00 ,  2.40 
TIW         ,  1.10 ,  6.58 ,  4.82 ,  7.32 ,  2.83 ,  4.71 ,  3.97 ,  2.88 ,  8.92 ,  6.60 ,  4.63 ,  9.23 ,  2.00 ,  2.00 
TK          ,,  0.35 ,  0.38 ,  0.40 ,  0.30 ,  0.32 ,  0.34 ,  0.36 ,  0.52 ,  0.58 ,  0.80 ,  0.43 ,  0.18 ,  0.40 
TKS         ,,  0.14 ,  0.10 ,  0.12 ,  0.14 ,  0.07 ,  0.14 ,  0.06 ,  0.21 ,  0.29 ,  0.24 ,  0.50 ,  0.55 ,  0.50 
TKT         ,,,  0.05 ,  0.10 ,  0.10 ,  0.10 ,  0.12 ,  0.12 ,  0.12 ,  0.05 ,  0.18 ,  0.15 ,  0.10 ,  0.06 
TLUXE       ,  0.12 ,  0.08 ,  0.06 ,  0.30 ,  0.38 ,  0.15 ,  0.15 ,  0.20 ,  0.38 ,  0.28 ,  0.26 ,  0.09 ,,
TMB         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.03 ,  0.03 ,  0.04 ,  0.06 ,  0.06 
TMD         ,  0.25 ,  0.30 ,  0.41 ,  0.31 ,  0.36 ,  0.36 ,  0.40 ,  0.45 ,  0.48 ,  0.60 ,  0.90 ,  0.40 ,  1.00 ,  1.10 
TMI         ,,,,,,,,,  0.03 ,  -   ,  0.03 ,  0.02 ,  0.00 ,  0.02 
TMT         ,,,,  0.30 ,  0.45 ,  0.40 ,  1.00 ,  0.45 ,  0.45 ,  0.15 ,  0.80 ,  0.80 ,  0.65 ,  0.65 
TMW         ,,,  0.76 ,  1.01 ,  1.00 ,  1.00 ,  1.00 ,  0.25 ,  0.25 ,  1.00 ,  -   ,  3.20 ,,  1.00 
TNDT        ,,,,,,  0.15 ,  0.20 ,  0.26 ,  0.20 ,  0.31 ,  0.31 ,  0.35 ,  0.37 ,  0.27 
TNH         ,,,,,  0.18 ,  0.35 ,  0.41 ,  0.43 ,  0.40 ,  0.48 ,  0.50 ,  0.60 ,  0.60 ,  0.62 
TNITY       ,  -   ,  0.40 ,  0.28 ,  0.18 ,  0.04 ,  0.11 ,  -   ,  -   ,  0.20 ,  0.22 ,  0.51 ,  0.60 ,  0.32 ,  0.60 
TNL         ,  0.70 ,  0.75 ,  0.90 ,  1.10 ,  1.00 ,  0.75 ,  0.80 ,  0.75 ,  0.85 ,  1.10 ,  1.20 ,  0.95 ,  0.85 ,  0.75 
TNPC        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.03 ,  0.02 ,  0.02 ,  0.10 ,  0.01 ,  0.03 
TOG         ,,,,,  0.09 ,  0.17 ,  0.24 ,  0.25 ,  0.25 ,  0.05 ,  0.25 ,  0.28 ,  0.35 ,  0.38 
TOP         ,,,  1.80 ,  3.50 ,  3.50 ,  4.50 ,  2.75 ,  2.55 ,  2.00 ,  3.30 ,  2.20 ,  2.30 ,  1.16 ,  2.70 
TOPP        ,  2.00 ,  1.50 ,  2.65 ,  2.25 ,  2.25 ,  2.25 ,  2.30 ,  3.00 ,  3.80 ,  3.80 ,  4.20 ,  4.60 ,  4.60 ,  4.65 
TPA         ,  0.30 ,  0.65 ,  0.50 ,  0.50 ,  0.70 ,  0.60 ,  0.40 ,  0.45 ,  0.40 ,  0.45 ,  0.70 ,  0.25 ,  0.20 ,  0.40 
TPAC        ,,,,  0.10 ,  0.15 ,  0.25 ,  0.20 ,  0.28 ,  0.30 ,  0.20 ,  0.06 ,  0.32 ,  0.30 ,  0.25 
TPC         ,  0.70 ,  1.00 ,  2.00 ,  2.00 ,  1.80 ,  1.80 ,  1.65 ,  1.40 ,  1.40 ,  0.70 ,  2.25 ,  1.80 ,  0.50 ,  1.55 
TPCORP      ,  0.70 ,  0.80 ,  0.80 ,  0.85 ,  0.75 ,  0.50 ,  0.30 ,  0.25 ,  0.35 ,  0.40 ,  0.55 ,  0.50 ,  0.55 ,  0.60 
TPIPL       ,  -   ,  -   ,  -   ,  -   ,  0.04 ,  -   ,  -   ,  0.01 ,  0.02 ,  0.02 ,  0.01 ,  0.15 ,  0.02 ,  0.02 
TPOLY       ,,,,,,,,,  0.02 ,  0.08 ,  -   ,,,
TPP         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.30 ,  0.34 ,  0.40 ,  0.30 
TPROP       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
TR          ,  0.80 ,  0.90 ,  1.10 ,  1.20 ,  1.10 ,  1.60 ,  1.30 ,  1.00 ,  1.75 ,  2.50 ,,  1.37 ,  0.05 ,  0.70 
TRC         ,,,,,,,,,,,,  0.05 ,  0.00 ,  0.01 
TRS         ,  0.31 ,  0.47 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
TRT         ,,,,,  -   ,  0.10 ,  0.17 ,  0.50 ,  0.27 ,  0.36 ,  0.01 ,  0.30 ,  0.10 ,  0.05 
TRU         ,  0.50 ,  0.33 ,  0.50 ,  0.08 ,  -   ,  -   ,  -   ,  -   ,  0.20 ,  0.20 ,  0.49 ,  0.20 ,  0.15 ,  0.15 
TRUBB       ,  0.07 ,  -   ,  -   ,  -   ,  0.13 ,  -   ,  -   ,  0.09 ,  0.14 ,  0.02 ,  -   ,,,
TRUE        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.01 
TSC         ,,,,  0.40 ,  0.50 ,  0.50 ,  0.50 ,  0.50 ,  0.50 ,  0.50 ,  0.50 ,  0.50 ,  0.70 ,  0.55 
TSF         ,,,,  0.00 ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
TSI         ,  0.01 ,  0.01 ,  0.02 ,  0.03 ,  0.03 ,  0.03 ,  0.02 ,  0.01 ,  -   ,  -   ,  -   ,,,
TSTE        ,  0.14 ,  0.06 ,  0.00 ,  -   ,  -   ,  -   ,  0.00 ,  -   ,  0.09 ,  0.09 ,  0.09 ,  0.24 ,  0.50 ,  0.06 
TSTH        ,  -   ,  -   ,  -   ,  -   ,  0.03 ,  -   ,  0.08 ,  -   ,  -   ,  -   ,  -   ,,,
TT&T        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
TTA         ,  0.19 ,  0.42 ,  3.44 ,  2.68 ,  1.03 ,  1.26 ,  1.72 ,  0.46 ,  0.22 ,  0.42 ,  -   ,,  0.28 ,  0.05 
TTCL        ,,,,,,,,  0.35 ,  0.37 ,  0.43 ,  0.64 ,  0.70 ,  0.60 ,  0.53 
TTI         ,  1.50 ,  1.50 ,  2.25 ,  2.50 ,  2.50 ,  0.50 ,  0.50 ,  0.50 ,  1.00 ,  0.50 ,  0.50 ,  0.50 ,  1.00 ,  0.50 
TTL         ,  3.50 ,  3.20 ,  3.00 ,  2.13 ,  -   ,  -   ,,  1.00 ,  1.50 ,  2.75 ,  2.75 ,  1.75 ,  38.00 ,  1.00 
TTTM        ,  2.00 ,  3.00 ,  3.00 ,  3.00 ,  2.50 ,  2.50 ,  1.00 ,  1.50 ,  3.00 ,  1.50 ,  4.50 ,  3.00 ,  2.50 ,  1.00 
TTW         ,,,,,,,  0.20 ,  0.28 ,  0.35 ,  0.40 ,  0.52 ,  0.60 ,  0.65 ,  0.60 
TUCC        ,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , #DIV/0! ,,,,
TVI         ,  0.03 ,  0.17 ,  0.01 ,  0.08 ,  0.11 ,  0.10 ,  -   ,  0.06 ,  0.17 ,  0.08 ,  0.22 ,  0.32 ,  0.11 ,  0.05 
TVO         ,  0.59 ,  0.81 ,  0.52 ,  0.56 ,  0.56 ,  1.20 ,  1.30 ,  1.65 ,  1.48 ,  0.89 ,  1.00 ,  1.00 ,  1.75 ,  1.90 
TWP         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  1.00 ,  1.10 
TWZ         ,,,,  0.00 ,  0.00 ,  0.00 ,  0.01 ,,  0.02 ,  0.01 ,  -   ,  0.02 ,  0.01 ,  0.00 
TYCN        ,,  0.52 ,  0.73 ,  0.10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
UAC         ,,,,,,,,,  0.03 ,  0.03 ,  0.01 ,  0.16 ,  0.01 ,  0.10 
UBIS        ,,,,,,  0.21 ,  0.21 ,  0.37 ,  0.26 ,  0.19 ,  0.17 ,  0.30 ,  0.48 ,  0.04 
UEC         ,,,,  0.04 ,  0.08 ,  0.38 ,  0.15 ,  0.17 ,  0.10 ,  0.13 ,  0.28 ,  0.28 ,  0.37 ,  0.14 
UKEM        ,,,,,  0.01 ,  0.01 ,  0.03 ,  0.04 ,  0.04 ,  0.09 ,  0.07 ,  0.03 ,  0.03 ,  0.02 
UMI         ,  -   ,  -   ,  0.07 ,  -   ,  -   ,  -   ,  -   ,  0.08 ,  0.13 ,  0.07 ,  0.07 ,  0.13 ,  0.11 ,  0.16 
UMS         ,,,  0.14 ,  0.09 ,  0.14 ,  0.82 ,  0.51 ,  -   ,  -   ,  0.08 ,  -   ,,,
UNIQ        ,,,,,,  0.03 ,  0.08 ,  0.11 ,  0.06 ,  -   ,  0.06 ,  0.16 ,  0.19 ,  0.27 
UOBKH       ,,,,  0.08 ,  0.08 ,  0.07 ,  0.04 ,  0.05 ,  0.06 ,  0.06 ,  0.07 ,  0.15 ,  0.11 ,  0.10 
UP          ,  0.50 ,  1.00 ,  1.00 ,  1.00 ,  2.50 ,  2.50 ,  2.50 ,  1.15 ,  2.00 ,  2.20 ,,  2.85 ,  1.87 ,  1.11 
UPF         ,  3.00 ,  2.00 ,  2.50 ,  2.50 ,  1.90 ,  2.25 ,  2.50 ,  15.00 ,  5.70 ,  4.00 ,  5.00 ,  2.80 ,  3.35 ,  4.90 
UPOIC       ,  0.15 ,  0.50 ,  0.30 ,  0.10 ,  0.30 ,  0.60 ,  1.00 ,  0.50 ,  0.35 ,  1.10 ,  0.60 ,  0.60 ,  0.30 ,  0.10 
UT          ,  0.50 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.70 ,  0.20 ,  -   ,,,
UTP         ,,,  0.10 ,  0.02 ,  0.04 ,  0.01 ,  -   ,  0.03 ,  0.08 ,  0.03 ,  0.12 ,  0.20 ,  0.20 ,  0.15 
UV          ,  0.02 ,  0.08 ,  0.08 ,  0.08 ,  0.08 ,  0.08 ,  0.04 ,  0.01 ,  0.04 ,  0.05 ,  0.02 ,  0.05 ,  0.08 ,  0.11 
UVAN        ,,  0.33 ,  0.30 ,  0.09 ,  0.28 ,  0.40 ,  1.15 ,  0.45 ,  0.45 ,  0.95 ,  0.70 ,  0.55 ,  0.50 ,  0.40 
VARO        ,  0.05 ,  0.30 ,  0.33 ,  0.21 ,  0.16 ,  0.13 ,  -   ,  0.18 ,  0.10 ,  0.20 ,  -   ,,,
VIBHA       ,  0.00 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.02 ,  0.02 ,  0.02 ,  0.25 ,  0.30 ,  0.03 
VNG         ,  0.42 ,  0.40 ,  0.42 ,  0.21 ,  0.21 ,  0.17 ,  0.11 ,  0.07 ,  0.22 ,  0.12 ,  0.07 ,,  0.27 ,  0.45 
VNT         ,  -   ,  -   ,  0.35 ,  0.58 ,  0.12 ,  0.17 ,  0.35 ,  0.35 ,  0.70 ,  1.00 ,  0.86 ,  0.06 ,  0.10 ,  0.40 
VTE         ,,,,,,,,,,  0.02 ,  0.04 ,,,
WACOAL      ,  0.90 ,  1.10 ,  1.10 ,  1.10 ,  1.30 ,  1.30 ,  1.50 ,  1.50 ,  2.00 ,  2.10 ,  2.40 ,  2.25 ,  2.40 ,  1.10 
WAVE        ,  -   ,  0.25 ,  -   ,  0.20 ,  0.11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
WG          ,  1.50 ,  1.85 ,  2.00 ,  2.25 ,  2.50 ,  3.65 ,  3.99 ,  3.75 ,  4.50 ,  4.50 ,  5.00 ,  5.50 ,  5.50 ,  5.00 
WIN         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , #DIV/0! , #DIV/0! ,,,,
WORK        ,,,  0.29 ,  0.69 ,  0.66 ,  0.71 ,  0.33 ,  0.17 ,  0.33 ,  0.71 ,  1.00 ,,  0.04 ,  0.34 
WR          ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
YCI         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
YNP         ,,,,  0.03 ,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
YUASA       ,  0.06 ,  0.04 ,  0.10 ,  -   ,  -   ,  -   ,  -   ,  0.05 ,  -   ,  -   ,  0.05 ,  0.03 ,,  0.08 
ZMICO       ,  0.04 ,  0.29 ,  0.27 ,  0.14 ,  0.39 ,  -   ,  0.46 ,  -   ,  -   ,  0.05 ,  0.06 ,  0.09 ,  0.05 ,  0.09 
BCH         ,,,  -   ,  0.04 ,  0.05 ,  0.07 ,  0.09 ,  0.10 ,  0.08 ,  0.16 ,  0.14 ,  0.16 ,  0.12 ,  0.12 
AMARIN      ,  0.43 ,  0.01 ,  0.55 ,  0.68 ,  0.73 ,  0.73 ,  0.73 ,  0.73 ,  0.73 ,  0.82 ,  1.09 ,  0.01 ,  0.70 ,
GSTEL       ,,,,,  0.13 ,  0.12 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
PJW         ,,,,,,,,,,,  0.14 ,  0.10 ,,  0.10 
VIH         ,,,,,,,,,,,  0.03 ,  0.06 ,  0.03 ,  0.10 
AAV         ,,,,,,,,,,,  -   ,,,  0.10 
FPI         ,,,,,,,,,,,  0.05 ,  0.30 ,  0.22 ,  0.11 
JMT         ,,,,,,,,,,,  0.15 ,  0.19 ,  0.30 ,  0.16 
WHA         ,,,,,,,,,,,  0.01 ,  0.77 ,,
SNP         ,  0.38 ,  0.38 ,  0.40 ,  0.41 ,  0.39 ,  0.30 ,  0.43 ,  0.50 ,  0.61 ,  0.75 ,  1.12 ,  5.50 ,  0.80 ,  1.10 
UWC         ,,,,,,,,,,,  -   ,,,  0.00 
SRICHA      ,,,,,,,,,,,  2.50 ,  2.70 ,  2.55 ,  1.50 
TVD         ,,,,,,,,,,,  0.10 ,  0.10 ,  0.02 ,
ANAN        ,,,,,,,,,,,  -   ,  0.05 ,  0.10 ,  0.10 
HOTPOT      ,,,,,,,,,,,  0.04 ,  0.06 ,,
PPS         ,,,,,,,,,,,  0.02 ,  0.04 ,  0.03 ,  0.01 
TMC         ,,,,,,,,,,,  0.20 ,  0.04 ,,
TMILL       ,,,,,,,,,,,  0.14 ,  0.10 ,  0.08 ,  0.08 
BEAUTY      ,,,,,,,,,,,  0.04 ,  0.65 ,  0.99 ,  0.13 
ARROW       ,,,,,,,,,,,  0.20 ,  0.35 ,  0.34 ,  0.55 
DNA         ,,,,,,,,,,,  0.00 ,  0.02 ,,
MPG         ,,,,,,,,,,,,,,
ABC         ,  0.00 ,  0.00 ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
KKP         ,  2.01 ,  2.25 ,  2.21 ,  2.28 ,  2.20 ,  2.30 ,  1.75 ,  2.00 ,  2.27 ,  2.40 ,  2.16 ,  2.65 ,  1.85 ,  3.00 
