Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BWG         ,,,,,,  15.07 ,  10.25 ,  (6.36),  6.13 ,  10.15 ,  6.07 ,  11.94 ,  12.90 ,  15.58 
CCET        ,  25.73 ,  22.48 ,  23.71 ,  18.93 ,  21.20 ,  21.88 ,  14.76 ,  8.44 ,  10.17 ,  3.02 ,  7.39 ,  2.94 ,  6.49 ,  8.95 
CCP         ,,  20.50 ,  15.65 ,  (1.35),  (30.62),  (10.16),  (25.99),  (45.16),  (5.05),  14.47 ,  55.74 ,  49.65 ,  12.95 ,  3.93 
CEN         ,  (38.29),  10.15 ,  105.49 ,  8.80 ,  (28.27),  12.11 ,  13.24 ,  6.46 ,  6.51 ,  0.34 ,  1.25 ,  (0.10),  5.38 ,  (7.66)
CENTEL      ,  9.26 ,  11.38 ,  19.37 ,  16.84 ,  11.31 ,  9.51 ,  6.26 ,  0.88 ,  (0.87),  9.50 ,  20.84 ,  13.41 ,  11.18 ,  16.61 
CFRESH      ,  2.68 ,  (2.87),  8.25 ,  8.08 ,  4.74 ,  1.06 ,  3.74 ,  13.59 ,  10.73 ,  16.52 ,  33.10 ,  (22.90),  30.05 ,  25.20 
CGD         ,  (106.90),  415.68 ,  59.31 ,  21.39 ,  53.06 ,,,,,,,,  1.38 ,  (8.61)
CHARAN      ,  4.06 ,  3.59 ,  3.78 ,  5.34 ,  8.31 ,  7.06 ,  5.53 ,  4.06 ,  2.57 ,  (6.43),  5.43 ,  0.32 ,  3.85 ,  6.17 
CHOTI       ,  0.51 ,  (1.28),  9.66 ,  5.19 ,  4.20 ,  9.18 ,  9.98 ,  13.14 ,  14.64 ,  20.34 ,  15.54 ,  1.65 ,  0.04 ,  2.57 
CHOW        ,,,,,,,,,,  14.48 ,  1.99 ,  8.23 ,  3.67 ,  (8.82)
CHUO        ,  11.16 ,  8.63 ,  10.26 ,  33.10 ,  13.46 ,  12.64 ,  7.32 ,  1.17 ,  9.54 ,  (6.33),  (15.88),  14.56 ,  8.21 ,  (49.30)
CI          ,  7.85 ,  10.31 ,  5.72 ,  8.45 ,  6.37 ,  2.42 ,  10.06 ,  5.38 ,  (1.71),  (1.98),  11.96 ,  25.14 ,  (1.58),  10.19 
CIG         ,,,,  16.14 ,  5.47 ,,  (2.31),  (6.24),  (16.43),  (24.51),  (19.04),  (1.32),  15.17 ,  (0.91)
CIMBT       ,  17.08 ,  (45.00),  7.63 ,  7.59 ,  (69.60),  (284.36),  (69.61),  0.03 ,  8.40 ,  10.46 ,  9.58 ,  7.18 ,  4.44 ,  4.23 
CITY        ,,,,,  19.59 ,  17.14 ,  13.61 ,  10.19 ,  7.84 ,  9.23 ,  14.51 ,  11.92 ,  13.02 ,  11.17 
CK          ,  (6.92),  8.29 ,  4.71 ,  14.81 ,  (26.23),  0.29 ,  10.31 ,  1.70 ,  (5.85),  15.01 ,  7.61 ,  61.12 ,  12.87 ,  11.08 
CM          ,  9.06 ,  9.68 ,  8.63 ,  8.10 ,  9.41 ,  8.71 ,  12.09 ,  17.57 ,  12.76 ,  4.57 ,  14.20 ,  10.37 ,  4.66 ,  9.14 
CMO         ,,,  19.98 ,  10.34 ,  23.46 ,  0.18 ,  (6.08),  (3.59),  14.39 ,  (14.07),  26.07 ,  8.92 ,  (9.06),  7.15 
CMR         ,  12.53 ,  16.80 ,  10.83 ,  11.05 ,  13.55 ,  12.12 ,  (1.22),  15.81 ,  11.69 ,  10.63 ,  13.47 ,  19.10 ,  17.66 ,  19.79 
CNS         ,  2.62 ,  3.45 ,  9.91 ,  4.60 ,  2.97 ,  2.86 ,  3.41 ,  1.90 ,  3.28 ,  1.09 ,  5.30 ,  8.70 ,  7.85 ,  7.62 
CNT         ,  (3.31),  (462.04),  46.56 ,  15.36 ,  6.92 ,  12.01 ,  0.38 ,  14.29 ,  25.41 ,  10.00 ,  26.83 ,  22.32 ,  (18.39),  1.36 
COLOR       ,,,,,,,,,,  8.37 ,  (0.22),  (13.28),  (3.11),  4.83 
CPALL       ,,  19.19 ,  22.87 ,  18.13 ,  15.24 ,  16.34 ,  25.49 ,  28.14 ,  36.52 ,  40.81 ,  45.71 ,  37.95 ,  34.09 ,  40.16 
CPF         ,  10.60 ,  7.84 ,  4.01 ,  18.17 ,  5.89 ,  2.97 ,  7.05 ,  21.02 ,  24.68 ,  26.05 ,  22.35 ,  6.59 ,  9.29 ,  9.46 
CPH         ,  11.36 ,  21.52 ,  7.73 ,  8.10 ,  1.26 ,  (3.50),  (2.46),  0.95 ,  (6.98),  (2.47),  (5.01),  (7.58),  (1.63),  5.93 
CPI         ,  26.65 ,  18.98 ,  15.21 ,  (5.14),  0.11 ,  2.57 ,  22.32 ,  7.89 ,,  10.67 ,  2.00 ,  0.57 ,  3.08 ,  (1.06)
