Stock,กองทุนทดแทนความเสียหายในระบบการชำระราคาและส่งมอบหลักทรัพย์,กิจการที่เกี่ยวข้องกัน,ค่าความนิยม,ค่าความนิยม - สุทธิ,ค่าลิขสิทธิ์ซอฟแวร์,ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายรอตัดบัญชี,งานระหว่างทำ,จากการให้เช่าและบริการ,จากเงินปันผลและดอกเบี้ย,ดอกเบี้ยค้างรับ,ตราสารหนี้ที่จะถือจนครบกำหนด,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนโครงการพัฒนาอสังหาริมทรัพย์,ทรัพย์สินรอการขาย - สุทธิ,ที่ดิน อาคาร และอุปกรณ์,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,ที่ดิน อาคาร และอุปกรณ์ตามสัญญาเช่าการเงิน,บริษัทย่อย,บริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ภาระของลูกค้าจากการรับรอง,ภาษีซื้อที่ยังไม่ถึงกำหนด,ภาษีมูลค่าเพิ่มค้างรับ,ภาษีมูลค่าเพิ่มรอเรียกคืน,ภาษีเงินได้ระหว่างการขอคืน,ภาษีเงินได้หัก ณ ที่จ่าย,มูลค่างานที่เสร็จยังไม่ได้เรียกเก็บ,รวมสินทรัพย์,รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายได้ค้างรับ,รายได้จากการลงทุนค้างรับ,ลูกหนี้,ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้จากการขายเงินลงทุน,ลูกหนี้จากผลตอบแทนในสิทธิการเช่าอสังหาริมทรัพย์,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่นที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะสั้นอื่น - สุทธิ,ลูกหนี้สำนักหักบัญชี,ลูกหนี้อื่น - สุทธิ,วัตถุดิบ อะไหล่และวัสดุสิ้นเปลือง,สิทธิการเช่า - สุทธิ,สิทธิในการเรียกคืนหลักทรัพย์ / ภาระของลูกค้าจากการประกอบธุรกิจอื่น,สิทธิในสัมปทาน,สินค้าคงเหลือ,สินค้าระหว่างทาง,สินค้าสำเร็จรูป,สินทรัพย์,สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์ชีวภาพ,สินทรัพย์ชีวภาพ - สุทธิ,สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,สินทรัพย์ทางการเงิน,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ภายใต้สัญญาสัมปทาน,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ลงทุน,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,สินทรัพย์อื่น - สุทธิ,สินทรัพย์อื่น - อื่น ๆ,สินทรัพย์ไม่มีตัวตน - สุทธิ,สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่หมุนเวียน - อื่น ๆ,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนอื่น,ส่วนที่เพิ่มขึ้นจากการตีราคาที่ดิน อาคาร และอุปกรณ์,ส่วนที่เพิ่มขึ้นจากการตีสินทรัพย์ไม่มีตัวตน,ส่วนปรับปรุงที่ดิน อาคาร และอุปกรณ์,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หัก ค่าตัดจำหน่ายสะสมสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าของเงินลงทุน,หัก ค่าเผื่อการด้อยค่าค่าความนิยม,หัก ค่าเผื่อการด้อยค่าที่ดิน อาคาร และอุปกรณ์,หัก ค่าเผื่อการด้อยค่าสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าอสังหาริมทรัพย์เพื่อการลงทุน,หัก ค่าเผื่อการปรับมูลค่าจากการปรับโครงสร้างหนี้,หัก ค่าเผื่อการลดมูลค่าของสินค้าคงเหลือ,หัก ค่าเผื่อหนี้สงสัยจะสูญ,หัก ค่าเสื่อมราคาสะสมที่ดิน อาคาร และอุปกรณ์,หัก ค่าเสื่อมราคาสะสมอสังหาริทรัพย์เพื่อการลงทุน,หัก รายได้รอตัดบัญชี,อสังหาริมทรัพย์รอการขาย,อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,อื่น ๆ,เครื่องหมายการค้า,เงินค้างรับเกี่ยวกับการประกันภัยต่อ,เงินจ่ายล่วงหน้า,เงินทดรองจ่ายและเงินให้กู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างรับ,เงินฝากระยะยาวในสถาบันการเงิน,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้,เงินมัดจำ,เงินลงทุน - สุทธิ,เงินลงทุน - อื่น ๆ,เงินลงทุนซึ่งบันทึกโดยวิธีราคาทุน,เงินลงทุนที่จะถือจนครบกำหนด,เงินลงทุนระยะยาว,เงินลงทุนระยะสั้น,เงินลงทุนระยะสั้นที่มีภาระผูกพัน,เงินลงทุนอื่น,เงินลงทุนเผื่อขาย,เงินลงทุนเพื่อค้า,เงินลงทุนแสดงตามมูลค่ายุติธรรม,เงินลงทุนในบริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกันซึ่งบันทึกโดยวิธีส่วนได้เสีย,เงินลงทุนในหลักทรัพย์,เงินลงทุนในอสังหาริมทรัพย์,เงินวางไว้จากการประกันภัยต่อ,เงินสดและรายการเทียบเท่าเงินสด,เงินให้กู้ยืมระยะยาว - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมและลูกหนี้,เงินให้สินเชื่อ ลูกหนี้ และดอกเบี้ยค้างรับ - สุทธิ,เงินให้สินเชื่อแก่สถาบันการเงิน,เบี้ยประกันภัยค้างรับสุทธิ,โดยมีกรมธรรม์ประกันภัยเป็นประกัน,โดยมีทรัพย์สินจำนองเป็นประกัน,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย
ECL,,,,,,,,,,,,,,,,10.52,38.00,38.00,,,,,,,,,,,,,"4,074.59",,,,,,,,,,,,,,,20.14,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,22.61,,,,0.94,0.94,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,,,,,,,0.01,,,,7.31,,,,48.56,,,,"3,925.49","3,925.49",,,,,,
FNS,,0.07,,156.92,,,,,,,,,,,,,,85.26,,,,,,,,,,,,,"3,592.14",,,,118.88,,,,,,,,,,,7.82,,"1,259.25",,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,1.03,,,,166.80,47.92,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,551.24",,0.07,,,,,28.65,30.11,202.91,,"1,289.49",,,,98.35,,,,,260.06,,,,,,
FSS,,,,,,,,,,,,,,,,,71.74,71.74,,,,,,,,,,,,,"5,952.84",,,,,,,,,,"3,925.11",,,,149.72,,,,,,,,,(หน่วย: ล้านบาท),,,,0.96,,,0.96,,,,23.70,,,,188.52,188.52,253.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,199.21",,,,,,,973.54,,,,225.67,,,,140.52,,,0.27,,"3,925.11",,,,,,
GBX,,,,,,,,,,,,,,,,,29.64,29.64,,,,,,,,,,,,,"2,957.54",,,,,,,,,,888.00,,,,125.45,"1,032.71",,,,,,,,(หน่วย: ล้านบาท),,,,9.36,,,9.36,,,,1.16,,,,53.79,53.79,26.42,26.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00,,,453.43,,,,,,,432.86,20.57,,,,,,,262.57,,,,,888.00,,,,,,
GL,,,338.66,338.66,,,,,,,,,,,,87.95,135.52,135.52,,,,,,,,,,,,,"14,381.99",,,,,,,,,,,,,,,82.41,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,53.06,,,,331.61,331.61,116.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,741.35",,,,,,,718.80,,,,"2,022.55",,,,"3,079.90",,,,"7,415.52","7,415.52",,,,,,
IFS,,,,,,,,,,,,,,,,,21.46,21.46,,,,,,,,,,,,,"4,131.03",,,,,,,,,,,,,,,"3,281.97",,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,51.35,,,,3.89,3.89,2.94,2.94,,,,,,,,,,,,,,,,,,,,,91.62,91.62,,,,,,,,,,,,,,,,,,,,,,,,,,305.29,,,,372.49,372.49,,,,,,
JMT,,,,,16.24,,,,,,,,,,,,86.32,86.32,,,,,,,,,,62.47,,,"5,247.91",,,,28.02,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,30.50,,,,150.69,60.21,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.35,,,,,,,104.35,,,,,,,,513.44,,,,"4,346.38","4,346.38",,,,,,
KCAR,,,,,,49.55,,,,,,,,,,,175.32,175.32,,,,,,,,,,,,,"4,999.09",,,,,,,,,,,,,,,165.35,,18.07,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,10.34,,,,"4,377.30","4,327.75",4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.07,,,,,,,248.28,,,,,,,,,,,
KGI,,,26.71,26.71,217.42,21.39,,,,,9.23,,,,,30.46,555.39,107.72,,,,,,,,,,,,,"17,025.07",,,,,,,,,,"7,041.94",,,,481.47,,,,,,,,,(หน่วย: ล้านบาท),,,,131.50,,,131.50,,,,5.61,,,,274.21,216.03,73.41,5.34,,,,,,,360.00,149.35,9.04,,,,,,,461.16,447.68,,,,,,,,,,,,,,,36.79,"8,621.73",,,319.15,,,,29.79,263.99,"8,017.84",,,,,,322.23,,,,,"6,590.01",,,,,,
KTC,,,,,,,,,,,,,,,,,,516.34,,,,,,,,,,,,,"73,635.77",,,,,,,,,,,,,,,"1,263.86",,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,"1,763.62",,,,81.23,81.23,509.42,,,,,,,516.34,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06,,,,,,,12.06,,,,,,,,"1,701.18",,,,"67,788.05","67,788.05",,,,,,
MBKET,,,,,,,,,,,,,,,,,132.77,132.77,,,,,,,,,,,,,"18,924.14",,,,,,,,,,"14,961.66",,,,534.23,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,23.35,,,,552.91,552.91,31.97,31.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,053.90",,,,,,,,,"2,053.90",,,,,,392.93,,,240.43,,"14,961.66",,,,,,
MFC,,,,,,,,,,,,,,,,,,45.08,,,,,,,,,,,,,"1,513.99",,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,33.47,,,,174.32,,8.62,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,"1,082.24",,,363.59,,,,45.14,673.85,,,,,,,170.26,,,,,,,,,,,
ML,,,,,,,,,,,9.28,,,,,23.41,145.51,109.04,,,,,,,,,,,,,"3,599.45",,,,,,,,,,,,,,,31.28,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,46.07,,,,2.84,2.77,,,,,,,,,49.58,,9.13,,,,,,,107.40,36.47,,807.77,,45.23,45.23,,,,,,,,,,0.07,189.31,,,,,,,198.39,,0.05,,,,,,42.91,,,,"3,965.68","3,059.80",,,,,,
MTLS,,,,,,,,,,,,,,,,,"1,022.05","1,022.05",,,,,,,,,,,,,"36,953.01",,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,12.65,,,,246.39,246.39,25.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,,,,,"1,153.71",,,,"34,491.30","34,491.30",,,,,,
PE,,,,,,35.08,,,,,,,,,,,"1,678.30","1,678.30",,,,,,,,,,,,,"1,991.89",,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,0.53,,,,103.34,68.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.64,,,,,,,,79.60,24.04,,,,,,16.35,,,,89.74,89.74,,,,,,
PL,,,,,35.69,,,,,,,,,,,24.73,"14,385.54","9,686.51",,,,,,,,,,,,,"13,211.44",,,,,,,,,,,,,,,"2,864.54",,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,293.58,,,,124.55,124.55,2.74,,,,,,,,,32.95,4.08,,0.56,,,,,,"4,698.47",,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,214.79,,,,,,,,,,,
S11,,,,,,100.66,,,,,,,,,,10.43,,89.39,,,,,,,,,,,,,"5,016.82",,,,,,,,,,,,,,,7.22,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,125.30,,,,141.96,41.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,0.30,,,,21.35,,,,,"4,620.86",,,,,,
SAWAD,,,,,563.41,,,,,,,,,,,335.24,490.60,490.60,,,,,,,,,,,,,"33,376.88",,,"2,312.46",,,,,,,,,,,,242.19,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,125.90,,,,100.88,100.88,563.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.52,,,,,,,,347.52,,,,,,,"1,853.08",,,,"27,005.61","27,005.61",,,,,,"2,312.46"
THANI,,,,,,,,,,,,,,,,60.17,,119.95,,,,,,,,,,,,,"39,491.79",,,,,,,,,,,,,,,54.49,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,269.60,,,,170.48,170.48,8.86,,,,,,,,,,,,,,,,,,,,,,19.33,19.33,,,,,,,,,,,0.24,,,,,,,0.24,,,,,,,,190.42,,,,,"38,598.25",,,,,,
TK,,,,,,,,,,,,,,,,228.55,,158.61,,,,,,,,,,,,,"10,018.18",,,,,,,,,,,,,,,76.07,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,139.65,,,,118.57,118.57,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.81,,,,,"9,096.37",,,,,,
TNITY,,,50.87,50.87,,,,,,,,,,,,,,23.85,,,,,,,,,,,,,"3,954.84",,,,,,,,,,"2,784.18",,,,144.39,15.55,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,39.58,,,,73.05,73.05,10.12,,,,,,,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,599.11,,,,,,,595.85,,,,3.26,,,,82.21,,,,131.95,"2,916.13",,,,,,
UOBKH,73.55,,407.90,342.64,69.08,8.27,,,,,12.09,,,,,,312.86,108.99,,,,,,,,,,,,,"6,346.40",,,,,,,,,,"5,334.42",,,,1.52,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,14.20,,,,53.18,12.72,34.10,5.00,,,,,,,,39.99,,65.26,,,,,,6.81,203.88,,,,,,,,,,,,,,,32.19,158.93,,,,,,,4.03,,154.89,,,,,,219.61,,,,,"5,339.69",,,,,,
ZMICO,,,,,,14.08,,,,,,,,,,0.69,,8.47,,,,,,,,,,11.74,,,"3,212.12",,,,,,,,,,62.66,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,47.56,,,,76.99,1.45,4.79,12.71,,,,,,27.77,,7.91,201.94,,,,,,,62.66,19.30,,,,,,,,,48.77,,,,,,0.94,"2,743.30",,,23.19,,,,338.16,7.35,996.19,,"1,580.34",,,,330.32,,,,,,,,,,,
AYUD,,,,,,,62.32,,,,,,,,,,,53.24,,,,,,,,,,,,,"11,054.97",,,,,6.97,,,,,,,,,,55.74,,,,,,,,(หน่วย: ล้านบาท),892.04,,,,,,,,,,167.17,"4,655.91",,,161.84,99.52,67.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,355.00","4,655.89",,,"1,401.89",,,,0.02,,,238.13,,,,
BKI,,,,,,,,,,,,,,,,,,"1,007.21",,,,,,,,,,,,,"60,102.78",,,,,94.70,,,,,,,,,,,,48.95,,,,,,(หน่วย: ล้านบาท),"5,726.60",,,,,,,,,,,"49,178.93",,,634.58,634.58,226.58,,,,,,,,,,,,,,,,,,,,,,,169.67,,,,,,,,,,,,,,,,,,,,,,214.94,"47,819.62",,,399.58,,,,"1,359.31",,,"2,401.05",,,,
BLA,,,,4.96,,,,,,,,,,,,,,"1,314.55",,,,,,,,,,,,,"308,729.19",,,,,"2,457.62",,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),"1,333.18",,,349.45,,,,,,,"1,511.62","295,366.94",,,824.05,,11.25,,,,,,,,,,,,,,,,,,,,,,18.82,18.82,,,,,,,,,,,,,,"208,373.41",,,,29.59,"77,121.94",87.96,,,"285,962.33",,,"3,975.79",,,,"9,404.60",,,"1,910.41",,,,
BUI,,,,,,,,,,,,,,,,,,273.33,,,,,,,,,,,,,"2,054.46",,,,,0.89,,,,,,,,,,68.06,,,,,,,,(หน่วย: ล้านบาท),715.20,,,,,,,,,,13.73,613.23,,,14.54,,9.04,,,,,,,,,,,,,,,,,,,,,,,83.87,,,,,,,,,,,,,,,,,,,,,,47.97,613.23,,,79.09,,,,,,,135.52,,,,
CHARAN,,,,,,1.97,,,,,,,,,,,45.82,44.06,,,,,,,,,,,,,807.48,,,,,2.72,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),32.59,,,,,,,,,,8.63,647.27,,,7.42,5.45,0.12,0.12,,,,,,,,,,,,,,,,,1.76,,,,,,0.67,,32.59,,,,,,,,,,,381.53,,,,0.34,255.22,,,,637.09,,,39.55,,,,10.18,,,25.13,9.51,,,
INSURE,,,,,,,,,,,,,,,,0.27,,29.56,,,,,,,,,,,,,"1,053.12",,,,,3.26,,,,,,,,,,16.91,,,,,,,,(หน่วย: ล้านบาท),252.74,,,,,,,,,,25.40,518.32,,,42.97,42.97,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.27,,,76.67,,,,11.05,,,86.70,,,,
MTI,,,631.90,631.90,92.53,296.49,,,,,,,,,,,755.43,609.28,,,,,,,,,,,,,"20,059.36",,,,,53.84,,,,,,,,,,100.35,,,,,,,,(หน่วย: ล้านบาท),"4,695.97",,,,,,,,,,439.65,"10,728.40",,,751.98,83.12,74.78,131.76,,,,,,430.05,,149.50,22.39,,,,,,,,576.20,,,,,,8.88,,"4,695.97",292.79,,,,,,79.58,,,,"3,370.94",,,,77.42,"7,290.25",,,,"10,716.23",,,433.94,,,,12.17,,,"1,539.26",,3.29,,
NKI,,,,,29.14,,,,,,,,,,,,598.86,270.44,,,,,,,,,,,,,"5,164.95",,,,,8.75,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),818.99,,,,,,,,,,172.21,"2,961.42",,,356.11,356.11,29.14,,,,,,,0.42,,,26.32,,,,,,,,328.85,,,,,,0.39,,818.99,,,,,,,,,,,545.00,,,,144.67,"2,297.39",,,37.02,"2,960.75",,0.00,110.46,,,,0.67,,,400.43,,0.28,,
NSI,,,,,,,,,,,,,,,,,,188.04,,,,,,,,,,,,,"3,678.68",,,,,13.36,,,,,,,,,,74.28,,,,,,,,(หน่วย: ล้านบาท),359.03,,,,,,,,,,125.07,"2,535.08",,,58.69,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,526.71",,,66.39,,,,8.37,,,255.77,,,,
SMK,,,,,,,,,,,,,,,,4.80,540.05,540.05,,,,,,,,,,,,,"14,485.16",,,,,67.34,,,,,,,,,,27.55,,,,,,,,(หน่วย: ล้านบาท),195.47,,,6.15,,,,,,,328.70,"11,760.57",,,255.74,,24.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,749.20",,,,,"11,755.35",,,304.32,,,,5.22,,,976.24,,,,
THRE,,,,,,,806.86,,,,,,,,,,,264.13,,,,,,,,,,31.12,,,"12,395.08",,,,,12.47,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),"2,965.71",,,,,,,,,,508.98,"6,989.95",,,"1,122.63",284.65,129.21,,,,,,,,,,0.01,,,,,,,,,,,,,,,,"1,976.20",,,,,,,,,,,"2,678.52",,,,5.37,"2,765.13","1,505.20",,7.49,"6,954.21",,989.50,394.50,,,,35.75,,,,,,,
THREL,,,,,,,65.65,,,,,,,,,,,46.32,,,,,,,,,,,,,"2,397.06",,,,,9.24,,,,,,,,,,212.17,,,,,,,,(หน่วย: ล้านบาท),4.02,,,,,,,,,,28.15,"1,756.75",,,69.46,3.81,40.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.59,"1,756.63",,,212.09,,,,0.12,,,,,,,
TIC,,,,,83.46,,,,,,,,,,,,107.80,20.43,,,,,,,,,,,,,"3,351.59",,,,,11.74,,,,,,,,,,41.95,,,,,,,,(หน่วย: ล้านบาท),972.76,,,,,,,,,,112.32,"1,624.80",,,80.11,72.46,29.44,,,,,,,,,54.02,0.83,,,,,,,,87.37,,,,,,0.87,,882.15,7.65,,,,,,,,,,745.59,,,,2.83,876.34,,,,"1,623.93",,90.62,162.05,,,,0.87,,,295.99,,,,
TIP,,,,,,"2,254.49",,,,,,,,,,,"1,357.38","1,357.38",,,,,,,,,,,,,"49,475.68",,,,,46.81,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),"17,983.65",,,,,,,,,,518.94,"15,849.26",,,"8,378.54",394.31,56.69,,,,,,,,,,,,,,,,,,,,,,121.97,121.97,,,"17,983.65","5,729.74",,,,,,,,,,,,,,,,"15,849.26",,,"15,849.26",,,"2,450.80",,,,,,,"2,711.63",,,,
TSI,,,,,,,,,,,,,,,,,,145.45,,,,,,,,,,,,,"1,696.93",,,,,0.86,,,,,,,,,,279.50,,,,,,,,(หน่วย: ล้านบาท),403.37,,,,,,,,,,,344.85,,,65.52,65.52,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.85,,,115.12,,,,,,,339.64,,,,
TVI,,,18.72,18.72,6.36,,,,,,,,,,,,292.11,292.11,,,,,,,,,,,,,"5,221.66",,,,,9.01,,,,,,,,,,51.58,,,,,,,,(หน่วย: ล้านบาท),476.37,,,,,,,,,,79.01,"3,040.24",,,523.79,,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,034.53",,,240.64,,,,5.71,,,483.83,,,,
AH,,,234.53,234.53,,,,,,,,,,,,,"4,861.30","4,861.30",,,,"1,648.01",,,,,,,,,"14,720.51","4,082.54","10,637.98",,,,,"2,220.13",,,,,,,,,,133.43,,,"1,121.10",,,(หน่วย: ล้านบาท),,,,,,,,,,,14.10,,245.95,,,,76.96,76.96,87.15,,111.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.46,,,11.38,,11.38,54.48,,,,,,"3,546.65",,,,440.88,"1,648.01",,,,,,,,,,
APCS,,,,,,,,,,,,,,,,,,961.27,,,,,309.69,,,,,,,,"1,871.88",737.63,"1,134.25",,,,,309.69,,,,,,,,,,,,,98.01,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,10.00,,,,154.31,,18.68,,18.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.93,,,,,,,,,,,
BAT-3K,,,,,,,,,,,,,,,,,,"1,265.89",,,,,,,,,16.81,,,,"3,446.63","1,741.99","1,704.64",,,,,583.86,,,,,,,,,,,,,964.58,,,(หน่วย: ล้านบาท),,,,,,,,,,,99.65,,16.81,,,,22.51,,,,10.08,,,,,,,,,,,,,,,,,,,306.50,,,,,,,,,,,,,,,,,,,,,,,,,,176.74,,,,,,,,,,,
CWT,,,,,9.33,,,,,,,,,,,,,"2,002.72",,,11.55,,,,,,,,,,"3,552.53","1,256.64","2,295.89",,,,,294.72,,,,,,,,,,,,,526.65,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,92.66,92.66,,,9.33,,124.72,0.98,124.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,,,,146.69,,135.14,255.45,,,,,,,,,,86.19,,,,,,,,,,,
EASON,,,,,13.52,,,0.10,,,,,,,,,658.31,285.25,,,,0.40,165.63,,0.21,,9.10,,,,"1,430.05",446.47,983.57,,,,,166.03,,,,,,,,,52.67,13.46,,,94.60,12.13,29.93,(หน่วย: ล้านบาท),,,,,,,,,,,10.86,,9.32,,,,1.98,8.81,3.15,,4.05,,,,,20.36,,,,,,,0.22,,373.07,14.16,,,48.73,34.57,,,,,,,,,,0.90,,,633.42,,,68.60,,,,,,,,,,107.93,,,,,,,,,,,
GYT,,,,,,,,,,,,,,,,,,"3,429.15",,,,,,,,,90.28,175.88,,,"5,675.99","2,057.34","3,618.65",,,,,915.18,,,,,,,,,,,,,853.49,,,(หน่วย: ล้านบาท),,,,,,,,,,,8.08,,95.79,5.52,,,0.60,,4.94,,180.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.88,,,,,,,,,,,
HFT,,,,,,,,,,,,,,,,,"1,097.88","1,097.88",,,,,52.96,,,,,,,,"3,162.36","1,976.03","1,186.34",,,,,521.72,,,,,,52.96,,,,,,,545.82,,,(หน่วย: ล้านบาท),,,,,,,,,,,28.30,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12,,,9.72,,,41.12,,,18.53,,,,845.81,,,,,,,,,,,
IHL,,,,,,,,,,,,,,,,,"2,009.50","2,009.50",,,,,,,,,,,,,"3,048.14",995.23,"2,052.91",,,,,233.29,,,,,,,,,,,,,719.41,,,(หน่วย: ล้านบาท),,,,,,,,,,,9.53,,26.09,,,,12.66,,1.04,,21.21,,,,,,,,,,,,,,,,,,,,,,,20.18,,,,,,,,,,,,11.70,,,,,,,,,,4.74,,,,,,,,,,,
INGRS,,,,,11.83,,,,,,,,,,,,"2,736.96","2,736.96",,,,,,,,,,,,,"4,481.20","1,259.36","3,221.84",,,,,651.15,,,,,,,,,,,,,272.24,,,(หน่วย: ล้านบาท),,,,,,,,,,,352.16,,47.80,,,,11.83,,64.18,,64.18,,,,,,,,,,,,,,,,,,42.67,42.67,,,,,,,,,14.04,,,,,,,,,,,,,,,,,288.17,,,,,,,,,,,
IRC,,,,,,,,,,,,,,,,,"1,635.08","1,635.08",,,,,,,,,,,,,"4,724.04","2,255.37","2,468.67",,,,,"1,002.74",,,,,,,,,,,,,546.14,,,(หน่วย: ล้านบาท),,,,,,,,,,,33.56,,17.31,,,,34.30,34.30,20.73,,20.73,,,,,,,,,,,,,,,,,,9.22,9.22,,,,,,,,,,,,,735.78,,30.78,333.15,,,705.00,,,,,,,356.03,,,,,,,,,,,
