Stock,กำไร (ขาดทุน) จากการทำสัญญาป้องกันความเสี่ยง,กำไร (ขาดทุน) ที่ยังไม่เกิดขึ้นจากการเปลี่ยนแปลงสัดส่วนการลงทุน,กำไร (ขาดทุน) สะสม,กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,กำไรสะสม - จัดสรรแล้ว,ค่าตอบแทนค้างจ่ายผู้ให้สัมปทานสิทธิ,ค่าเบี้ยประกันรับล่วงหน้า,ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายเกี่ยวกับพนักงานค้างจ่าย,จำนวนหุ้นทุนซื้อคืน (หน่วย : หุ้น),ดอกเบี้ยค้างจ่าย,ตราสารหนี้,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนค่าก่อสร้างที่ยังไม่เรียกเก็บ,ทุนจดทะเบียน,ทุนที่ออกและชำระเต็มมูลค่าแล้ว,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,บัญชีปรับสมดุล,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ประมาณการหนี้สิน,ประมาณการหนี้สินระยะยาว,ประมาณการหนี้สินระยะสั้น,ผลต่างจากการแปลงค่างบการเงิน,ภาระจากการรับรอง,ภาระในการส่งคืนหลักทรัพย์,ภาษีธุรกิจเฉพาะค้างจ่าย,ภาษีมูลค่าเพิ่มค้างจ่าย,ภาษีสรรพสามิตค้างจ่าย,ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้นของบริษัท,รวมหนี้สิน,รวมหนี้สินหมุนเวียน,รวมหนี้สินไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายการอื่น,รายได้รอการรับรู้ - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รอการรับรู้ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รับล่วงหน้า,สำรองค่าสินไหมทดแทนและค่าสินไหมทดแทนค้างจ่าย,สำรองตามกฎหมาย,สำรองอื่น ๆ,สำรองเบี้ยประกันภัย,สำรองเผื่อหนี้สินจากคดีความฟ้องร้อง,สำรองเพื่อขยายงาน,สำรองเพื่อชำระคืนเงินกู้ยืม,สำรองเพื่อซื้อหุ้นทุนซื้อคืน,สินทรัพย์สุทธิ,สินทรัพย์สุทธิต่อหน่วย (หน่วย : บาท),ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนเกิน (ต่ำกว่า) ทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเพิ่มทุนของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากรายการในส่วนของผู้ถือหุ้นของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากหุ้นทุนซื้อคืน,ส่วนเกิน (ต่ำกว่า) ทุนอื่น,ส่วนเกิน (ต่ำกว่า) ทุนอื่น - อื่น ๆ,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น,ส่วนเกินทุนจากการตีราคาสินทรัพย์ถาวร,ส่วนเกินทุนจากการลดทุน,ส่วนเกินทุนจากใบสำคัญแสดงสิทธิที่หมดอายุแล้ว,ส่วนแบ่งผลขาดทุนที่เกินเงินลงทุนในบริษัทร่วม และ/หรือ กิจการร่วมค้า,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,หนี้สินจากสัญญาประกันภัย,หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์หมุนเวียน,หนี้สินตราสารอนุพันธ์ไม่หมุนเวียน,หนี้สินตามสัญญาปรับโครงสร้างหนี้และฟื้นฟูกิจการ,หนี้สินตามสัญญาเช่าการเงิน,หนี้สินตามสัมปทานสิทธิ,หนี้สินทางการเงิน,หนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,หนี้สินทางการเงินหมุนเวียนอื่น,หนี้สินทางการเงินอื่น,หนี้สินทางการเงินไม่หมุนเวียนอื่น,หนี้สินที่เกี่ยวข้องโดยตรงกับสินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินระยะยาว - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินระยะยาวอื่น,หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น - อื่น ๆ,หนี้สินอื่น,หนี้สินและทุน,หนี้สินไม่หมุนเวียน - อื่น ๆ,หนี้สินไม่หมุนเวียนอื่น,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หุ้นกู้และตราสารหนี้อื่น,หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นทุนซื้อคืน,หุ้นทุนรับซื้อคืน / หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นบุริมสิทธิ,หุ้นสามัญ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,อื่น ๆ,เงินกู้ยืม,เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการอื่น,เงินกู้ยืมระยะยาว - สถาบันการเงิน,เงินกู้ยืมระยะสั้น,เงินกู้ยืมและเงินรับฝาก,เงินค้างจ่ายเกี่ยวกับการประกันภัยต่อ,เงินถือไว้จากการประกันภัยต่อ,เงินทดรองรับและเงินกู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างจ่าย,เงินฝากที่เป็นเงินตราต่างประเทศ,เงินฝากที่เป็นเงินบาท,เงินมัดจำ,เงินมัดจำการเช่าและบริการ,เงินรับฝาก,เงินรับล่วงหน้าค่าหุ้น,เงินรับล่วงหน้าจากลูกค้า - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินรับล่วงหน้าจากลูกค้า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินสำรองการเสี่ยงภัยที่ยังไม่สิ้นสุด,เงินเบิกเกินบัญชีและเงินกู้ยืมจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เจ้าหนี้,เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้ค่าที่ดินและค่าก่อสร้าง,เจ้าหนี้ค้างจ่าย,เจ้าหนี้จากการซื้อเงินลงทุน,เจ้าหนี้จากการแบ่งปันส่วนทุน,เจ้าหนี้ทรัสต์รีซีท,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะยาวอื่นที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะสั้นอื่น - สุทธิ,เจ้าหนี้สำนักหักบัญชี,เจ้าหนี้อื่น,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย,ใบสำคัญแสดงสิทธิ สิทธิซื้อหุ้น และสิทธิในการเลือกซื้อหุ้น
PRINC,,,-234.70,-278.90,44.20,,,,,,,521.47,,,,"3,240.64","3,240.09",,,445.62,"1,370.90",,,,,,,,,,,71.78,"8,924.10","8,246.29","4,164.11","2,215.01","1,949.10",,,,,,,44.20,,,,,,,,,138.20,,,,764.13,,764.13,,"4,476.77",,,,,677.81,,,,,,,11.06,,,,8.71,,,,,71.01,,171.40,"1,634.94",,196.43,75.60,,(หน่วย: ล้านบาท),42.44,62.12,,,,,,,"4,476.77",764.13,764.13,,,,,"1,102.41",,,,,445.62,,,,,19.68,,,,9.63,23.71,,,31.45,,"1,370.90",,,,,,,,,,,,,,,
PSH,,,"33,918.68","33,694.95",223.73,,,,,,,"15,500.00",,,,"2,226.38","2,186.80",,,,,,70.84,,,,,,,,,296.51,"38,659.54","37,909.09","33,584.15","17,638.91","15,945.24",,,,,,,223.73,,,,,,,,,"6,000.00",,,,,,,,"1,819.14",,,,,750.45,,,,,,,,,,,,,,,,374.40,,,"15,500.00",,"4,762.23","3,403.79",,(หน่วย: ล้านบาท),,,,,,,,,"1,819.14",-47.44,,,,,,,,,,,,,,,,"1,061.93",,,,,,,,"2,800.00",,"2,378.81","1,697.87",,,,,,,,,,,,,,31.91
QH,,,"13,690.81","12,619.37","1,071.44",,,,,,,"15,190.02",,,,"10,714.43","10,714.38",,,,,,530.91,520.31,,,,,,,,155.01,"24,802.21","24,802.21","28,256.94","11,912.32","16,344.63",,,487.19,27.22,,,"1,071.44",,,,,,,,,"8,300.00",,,,17.77,,17.77,,379.25,,,,,,,,,,,,,,,,,,,,,136.12,,0.38,"15,190.02",,"1,306.94",565.52,,(หน่วย: ล้านบาท),,,,,,,,,379.25,17.77,,,,,,,,,,,,494.97,,,,91.44,,,,,660.68,,,,,"1,097.16",,,,,,,,,,,,,,,
RICHY,,,353.87,307.26,46.61,,,,,,,,,,,"1,289.36",975.20,,,,,,,,,,,,,,,25.14,"1,867.48","1,867.48","4,195.06","3,236.95",958.11,,,,,,,46.61,,,,,,,,,"2,432.48",,,,,,,,538.41,,,,,,,,,,,,,,,,,,,,,2.96,,,955.15,,74.25,49.11,,(หน่วย: ล้านบาท),,,,,,,,,538.41,,,,,,955.15,,,,,,,,,,,,,,,,,,,6.79,,723.43,,,,,,,,,,,,,,,
RML,,,"2,009.00","1,900.00",109.00,,,108.68,,,,"1,705.50",,,,"4,704.34","3,575.48",,,1.03,122.12,,,,0.01,,,,,,,13.43,"5,066.72","5,049.48","5,391.26","3,608.44","1,782.81",,28.94,,,,,109.00,,,,,,,,,"1,525.35",-564.05,,,,,-564.05,,0.10,,,,,17.24,,,,,,,,,,,,,,,,23.28,,19.07,"1,705.50",,290.99,38.75,,(หน่วย: ล้านบาท),34.97,34.97,,,,,,,0.10,-535.10,,,,,,"1,025.86",,,,,,130.13,,,,,,,,,840.07,,,828.88,,123.15,,,,,,,,,,,,,,,
ROJNA,,,"5,400.33","5,196.77",203.56,,,169.42,,,,"4,613.74",,,,"2,020.46","2,020.46",,,23.82,226.50,,,,,,,,,,,97.29,"17,839.12","13,042.76","27,990.13","7,721.57","20,268.56",,,,684.64,,,203.56,,,,,,,,,"2,551.63",,,,,,,,"5,621.98",,,,,"4,796.35",,,,,,,,,,,,,,,,29.15,,80.00,"19,871.30",,528.12,143.19,,(หน่วย: ล้านบาท),,37.80,,,,,,,"5,621.98",,,,,,,"15,257.56",,,,,,118.23,,,,37.80,,,,,2.92,,,"2,745.39",,"1,096.91",,,,,,,,250.31,,111.95,,,,,
S,,-136.13,"2,389.42","2,379.42",10.00,,,,,,,"5,657.69",,,,"10,228.50","6,853.72",,,6.63,,,,,,,,,,,,59.41,"19,095.52","16,359.87","21,814.90","6,748.28","15,066.62",,-419.33,394.97,,,,10.00,,,,,,,,,"1,409.27",,,,,,419.26,555.39,"7,116.80",,,,,"2,735.65",,,,,139.15,,,,,,,,,,,47.23,,403.39,"13,942.69",,355.80,74.97,,(หน่วย: ล้านบาท),,139.17,,,,,,,"7,116.80",-0.07,,,,,"8,285.00",,,,,,,221.42,,,,,,,,,,,,715.00,,"4,261.58",,,,,,,,,,6.63,,,,,
SAMCO,,,"1,098.39","1,034.21",64.18,,,,,,,,,,,641.80,641.80,,,,294.65,,,,,,,,,,,2.74,"2,309.43","2,309.43","1,487.89",765.56,722.34,,,,,,,64.18,,,,,,,,,80.65,,,-67.02,,,-67.02,,636.26,,,,,,,,,,,,,,,,,,,,,15.52,,,667.37,,77.25,33.45,,(หน่วย: ล้านบาท),39.45,39.45,,,,,,,636.26,-67.02,,,,,,667.37,,,,,294.65,,,,,41.07,,,,,,,,180.43,,132.57,,,,,,,,,,,,,,,
SC,,,"10,413.10","9,975.17",437.93,,,"1,534.06",,,,"6,200.00",,,,"4,379.33","4,179.33",,,2.44,540.24,,,,,,,,,,,155.03,"14,915.43","14,913.21","23,582.73","12,085.84","11,496.89",,,4.45,5.12,,,437.93,,,,,,,,,"2,965.87",,,,,,,,318.56,,,,,2.22,,,,,,,5.30,,,,,,,,,149.68,,576.83,"10,305.30",,"1,947.43",258.34,,(หน่วย: ล้านบาท),11.21,460.64,,,,,,,318.56,,,,,,,"4,100.00",,,,,,302.50,,,,146.92,,,,,955.89,,,"5,668.85",,542.68,,,,,,,,,,,,,,,2.21
SENA,,,"2,907.61","2,750.34",157.27,,,,,,,,,,,"1,242.48","1,214.44",,,,26.40,,0.81,0.56,,,,,,,,145.17,"4,778.11","4,724.88","5,954.34","3,485.22","2,469.12",,4.73,,,,,124.25,33.02,,,,,,,,877.00,72.01,,,,,72.01,,526.08,,,,,53.24,,,,,,,,,,,,,,,,21.52,,15.40,"2,405.00",,145.17,,,(หน่วย: ล้านบาท),,,,,,,,,526.08,76.74,,,,,"2,405.00",,,,,,41.26,,,,,,,,,,,,,"1,230.03",,"1,191.19",,,,,,,,26.40,,,,,,,
SF,,,"7,879.01","7,701.34",177.67,,,,,,,,,,,"1,776.62","1,776.61",,,2.51,,,,,,,,,,,,4.56,"11,144.23","10,289.20","6,095.42","1,312.33","4,783.09",,,"1,775.66",145.52,,,177.67,,,,,,,,,110.00,,,,,,,,634.03,,,,,855.03,,,,,,,,,,,,,,,,38.89,,"1,002.72","1,481.60",,226.46,221.91,,(หน่วย: ล้านบาท),,484.22,,,,,,,634.03,-0.45,,,,,"1,481.60",,,,,,,,,,,484.22,,,,,,,,629.63,,198.21,,,,,,,,,,2.51,,,,,
SIRI,,,"12,443.12","11,010.08","1,433.04",,,"1,709.72",,,,"10,972.46",,,,"19,251.14","15,903.13",,,,,,182.96,108.30,,,,,,,,308.89,"30,477.83","30,507.26","49,671.87","30,499.76","19,172.11",,-186.15,344.53,"1,228.19",,,"1,433.04",,,,,,,,,"19,140.44",,,,,,51.53,51.53,"2,295.63",,,,,-29.43,,,,,,,,,,,,,,,,145.19,,,"17,186.15",,"3,069.05",393.07,,(หน่วย: ล้านบาท),"1,313.28","1,313.28",,,,,,,"2,295.63",-134.62,,,,,"6,213.69",,,,,,,657.38,,,,,,,,,"2,990.29",,,"2,400.00",,"1,563.49",,,,,,,,,,,,,,,
SPALI,,,"25,416.73","25,239.73",177.00,,,,,,,"9,692.30",,,,"2,145.69","1,716.55",,,730.56,12.74,,,30.76,,,,,,,,,"28,380.39","27,682.31","27,321.41","17,314.68","10,006.73",,,,,,,177.00,,,,,,,,,"7,159.34",,,,-123.60,453.21,329.61,,219.42,,,,,698.08,,,,,,,,,,,,,,,,139.30,,43.64,"9,821.30",,806.25,316.69,,(หน่วย: ล้านบาท),2.49,2.49,,,,,,,453.21,329.61,-123.60,,,,,129.00,,,,,743.30,489.56,,,,,,,,,"3,763.84",,,,,"1,834.34",,,,,"2,976.86",,,,,,,,,,
TFD,,,"-1,091.42","-1,142.07",50.66,,,,,,,"1,012.23",,,,"3,324.21","2,147.03",,,,,,,,,,,,,,,13.18,"2,718.42","2,605.31","7,774.07","4,984.20","2,789.87",,,,,,,50.66,,,,,,,,,"3,190.09",,,,,,,,"1,818.63",,,,,113.11,,,,,,,0.66,,,,,,,,,14.16,,,"2,715.97",,412.23,15.75,,(หน่วย: ล้านบาท),1.88,59.74,,,,,,,"1,818.63",-268.94,,,,165.74,,"1,703.08",,,,,,,,,,57.85,,,,,,,,"1,115.36",,266.52,,,,,,,,,,,,,,,
TICON,,48.52,"3,243.32","2,969.58",273.74,,,,,,,"9,220.00",,,,"2,751.21","1,834.14",,,,,,,,,,,,,,,4.43,"24,934.24","24,926.29","15,865.69","4,896.18","10,969.51",,-38.08,"1,262.60",,,,273.74,,,,,,,,,"4,101.63",,,,,,48.52,,"19,838.38",,,,,7.95,,,,,,,0.20,,,,,,,,,39.57,,46.76,"9,220.20",,462.79,458.36,,(หน่วย: ล้านบาท),,400.37,,,,,,,"19,838.38",10.45,,,,,,,,,,,,,,,,400.37,,,,,,,,,,331.77,,,,,,,,,,,,,,,
U,,,"-9,905.03",,,,,,,,,,,,,"861,413.13","561,362.30",,,,,,313.25,,,,,,,,,38.60,"17,795.69","17,669.55","22,256.13","2,539.26","19,716.86",,,,,,,,,,,,,,,,"1,123.62",,,,,,,,"-533,401.38",,,,,126.14,,,,,,"1,136.09","1,961.86",,,,,,,,,64.83,,"2,436.05","16,709.92",,158.64,120.04,,(หน่วย: ล้านบาท),192.81,192.81,,,,,,,"-533,401.38",-386.35,,,,,,"13,611.97",,,,,,,,,,,,,,,158.17,,,252.98,,845.85,,,,,,,,,,,,,,,
UV,,,"2,830.65","2,643.17",187.48,,,,,,,"6,993.88",,,,"4,044.77","1,911.93",,,16.44,"2,794.49",,200.69,,,,,,,,,273.41,"18,992.58","9,920.10","24,454.25","6,035.06","18,419.19",,,"9,834.56",446.01,,,187.48,,,,,,,,,46.00,29.53,,,84.80,,114.33,,"5,063.20",,,,,"9,072.47",,,,,,,,,,,,,,,,95.69,,289.62,"7,853.97",,779.52,325.42,,(หน่วย: ล้านบาท),144.65,144.65,,,,,,,"5,063.20",114.33,,,,514.47,,345.62,,,,,,180.69,,,,,,,,,126.68,,,"1,825.92",,"2,810.93",,,,,,,,,,,,,,,
WHA,,,"7,020.75","6,864.32",156.43,,,,,,,"25,618.68",,,,"1,567.77","1,432.24",,,,,,,,,,,,,,,190.10,"28,533.41","25,243.73","45,085.55","8,007.31","37,078.25",,"3,423.22","4,169.66",189.21,,,156.43,,,,,,,,,"3,058.72",,,,,,172.86,172.86,"12,391.31",,,,,"3,289.67",,,,,,,,,,,,,,32.33,,117.64,,"2,548.32","29,555.58",,352.43,162.33,,(หน่วย: ล้านบาท),533.46,687.04,,,,,,,"12,391.31","3,596.08",,,,,"3,936.90",,,,,,,,,,,153.58,,,,,,,,"1,784.17",,"2,590.44",,,,,,,,,,,,,,,803.35
WIN,,,-312.86,-313.80,0.95,,,,,,,,,,0.15,561.14,561.14,,,8.34,,,,12.72,,,,,,,,2.12,345.75,302.57,271.27,125.18,146.09,,,,,,,0.95,,,,,,,,,6.62,,,,,,,,-283.10,,,,,43.18,,,,,,,1.62,,,,,,,,,1.14,,83.58,46.82,,32.12,30.00,,(หน่วย: ล้านบาท),,14.55,,,,,,,-283.10,337.38,,,,,,45.20,,,,,8.34,,,,,,,,,,14.00,,,,,51.22,,,,,,,,,,,,,,,
AIMIRT,,,1.27,,1.27,,,0.95,,,,,,,,,,"1,550.00",,,,,,,,,,,,,,,,,742.32,,,,,,,,,,,,,,,,"1,551.27",10.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.00,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,50.22,,,,,,,,101.15,,,,,,,,,,,,,101.15,,,
AMATAR,,,101.70,,,,,19.27,,,,,,,,,,"3,518.06",,,,,,,,,,,,,,,,,"1,348.23",,,,,,,1.44,,,,,,,,,"3,619.76",10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,200.00",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,127.53,,,,,,,,,,,,,,,,,,,,,,,,
BKKCP,,,249.18,,,,,7.73,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,40.53,,,,,,,,,,,,,,,,"1,249.18",12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,30.30,,,,,,,,1.88,,,,,,,,,,,,,1.88,,,
CPNCG,,,333.60,,333.60,,,21.80,,,,,,,,,,"4,394.38",,,,,,,,,,,,,,,,,497.91,,,,,,,,,,,,,,,,"4,727.98",11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,193.71,,,,,,,,281.75,,,,,,,,,,,,,281.75,,,
CPNREIT,,,-407.33,,,,,703.56,,,,,,,,,,"29,653.38",216.09,,,,,,,,,,,,,,,,"17,593.41",,,,,,,51.48,,,,,,,,,"29,462.15",13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,652.06",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,"1,424.07",,,,,,,,762.24,,,,,,,,,,,,,762.24,,,
CPTGF,,,263.85,,,,,75.21,,,,,,,,,,"9,751.42",,,,,,,,,,,,,,,,,456.95,,,,,,,22.28,,,,,,,,,"10,015.27",10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,286.11,,,,,,,,73.34,,,,,,,,,,,,,73.34,,,
CRYSTAL,,,56.44,,56.44,,,17.02,,,,,,,,,,"4,134.00",,,,,,,,,,,,,,,,,132.76,,,,,,,1.22,,,,,,,,,"4,190.44",10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,103.17,,,,,,,,10.15,,,,,,,,,,,,,10.15,,,
CTARAF,,,-993.17,,,,,14.76,,,,,,,,,,"3,060.48",,,,,,,,,,,,,,,,,14.77,,,,,,,,,,,,,,,,"2,067.31",6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREIT,,,16.52,,,,,1.53,,,,,,,,,,"3,656.05",,,,,,,,,,,,,,,,,671.72,,,,,,,,,,,,,,,,"3,672.57",8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.89,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31,,,,,,,,,,,,,81.31,,,
ERWPF,,,-122.35,,,,,0.55,,,,,,,,,,"1,748.14",,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,"1,625.79",9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTUREPF,,,"1,182.28",,,,,34.19,,,,,,,,,,"5,633.16",,,,,,,,,,,,,,,,,527.27,,,,,,,,,,,,,,,,"6,815.44",12.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.24,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,343.98,,,,,,,,33.86,,,,,,,,,,,,,33.86,,,
GAHREIT,,,26.54,,,,,2.11,,,,,,,,,,"1,755.00",,,,,,,,,,,,,,,,,90.28,,,,,,,,,,,,,,,,"1,781.54",10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,88.00,,,,,,,,,,,,,,,,,,,,,,,,
GLANDRT,,,-508.62,-508.62,,,,16.03,,,,,,,,,,"4,912.73",,,,,,,,,,,,,,,,,"1,215.05",,,,,,,0.15,,,,,,,,,"4,404.11",8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000.45",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,128.06,,,,,,,,70.36,,,,,,,,,,,,,70.36,,,
GOLDPF,,,-25.72,-25.72,,,,0.68,,,,,,,,,,"2,016.78",,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,"1,991.06",9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,2.17,,,
GVREIT,,,222.12,,,,,,,,,,,,,,,"8,046.15",,,,,,,,,,,,,,,,,"2,352.36",,,,,,,18.45,,,,,,,,,"8,268.27",10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,004.25",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,271.91,,,,,,,,57.75,,,,,,,,,,,,,57.75,,,
HPF,,,16.92,,,,,10.37,,,,,,,,,,"4,629.50",,,,,,,,,,,,,,,,,81.34,,,,,,,0.56,,,,,,,,,"4,646.42",9.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,68.13,,,,,,,,,,,,,,,,,,,,,,,,
HREIT,,,-531.74,,,,,11.90,,,,,,,,,,"6,516.97",,,,,,,,,,,,,,,,,"2,448.37",,,,,,,7.15,,,,,,,,,"5,985.23",8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,294.58",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,134.73,,,,,,,,,,,,,,,,,,,,,,,,
IMPACT,,,497.02,497.02,,,,162.05,,,,,,,,,,"15,714.50",,,,,,,,,,,,,,,,,"4,338.43",,,,,,,106.22,,,,,,,,,"16,211.52",10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,980.69",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.48,,,,,,,,,,,,,89.48,,,
KPNPF,,,97.88,,,,,14.46,,,,,,,,,,"1,800.00",,,,,,,,,,,,,,,,,50.82,,,,,,,3.84,,,,,,,,,"1,897.88",10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,27.54,,,,,,,,3.16,,,,,,,,,,,,,3.16,,,
LHHOTEL,,,586.17,,,,,3.21,,,,,,,,,,"6,051.96",,,,,,,,,,,,,,,,,"1,612.84",,,,,,,,,,,,,,,,"6,638.13",12.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,609.63",(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHPF,,,240.87,,,,,29.44,,,,,,,,,,"3,300.00",,,,,,,,,,,,,,,,,79.46,,,,,,,,,,,,,,,,"3,540.87",10.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,35.30,,,,,,,,,,,,,,,,,,,,,,,,
